TA Ancillary File,,,
Date:,5/22/21,,
Operator:,LC,,
Acid Batch (yymmdd):,,,
Certified CRM TA (umolkg-1):,2131.51,,
Certified CRM Salinity:,32.291,,
Calibration Temperature:,23.3,,
,,,
Sample Name ,Temperature,Salinity,Volume HgCl2 (uL)
ESL06b_01,23.3,32.291,50
RSA_012a,23.3,32.9,100
RSA_012b,23.3,32.9,100
RSA_013a,23.3,32.853,100
RSA_013b,23.3,32.879,100
RSA_014a,23.3,32.902,100
RSA_014b,23.3,32.404,100
RSA_015a,23.3,32.936,100
RSA_015b,23.3,32.290,100
RSA_016a,23.3,32.9,100
RSA_016b,23.3,32.9,100
RSA_017a,23.3,32.966,100
RSA_017b,23.3,31.955,100
RSA_018a,23.3,32.963,100
RSA_018b,23.3,32.898,100
RSA_019a,23.3,33.015,100
RSA_019b,23.3,32.571,100
RSA_020a,23.3,33.004,100
RSA_020b,23.3,32.911,100
RSA_021a,23.3,32.983,100
RSA_021b,23.3,32.971,100
RSA_022a,23.3,32.9,100
esl06b_01,23.3,32.291,50
