TA Ancillary File,,,
Date:,5/25/21,,
Operator:,LC,,
Acid Batch (yymmdd):,,,
Certified CRM TA (umolkg-1):,2109.65,,
Certified CRM Salinity:,31.698,,
Calibration Temperature:,23.4,,
,,,
Sample Name ,Temperature,Salinity,Volume HgCl2 (uL)
esl07a_19,23.4,31.698,50
RSA_028b,23.4,32.872,100
RSA_029b,23.4,32.256,100
RSA_030a,23.4,32.9,100
RSA_030b,23.4,32.9,100
RSA_031a,23.4,32.807,100
RSA_031b,23.4,32.726,100
RSA_32a,23.4,32.930,100
RSA_032b,23.4,32.916,100
RSA_033a,23.4,32.954,100
RSA_033b,23.4,32.978,100
RSA_034a,23.4,32.903,100
RSA_034b,23.4,32.934,100
RSA_035a,23.4,32.925,100
RSA_035b,23.4,32.922,100
esl07a_19,23.4,31.698,50
