Flag,TA_avg,TA_stdev,BottleID,Salinity
,2192,0.2,RSA_001a,32.406
,2195.2,0.7,rsa_001b,32.447
,2197.7,0.7,rsa_002a,32.536
,2199,0.5,rsa_002b,32.504
,2227.3,1.1,RSA_003a,33.003
,2221.9,0.3,RSA_003b,32.877
,2225.3,0.3,RSA_004a,33.037
,2227.9,0.3,RSA_004b,33.080
,2227.3,0.2,RSA_005a,32.990
,2225.3,0.3,RSA_005B,32.953
,2212.4,0.1,RSA_006A,32.742
,2209.7,1.3,RSA_006B,32.721
,2222.7,1,RSA_007a,32.940
,2222.2,0.4,RSA_007b,32.930
,2214.1,1.1,RSA_008a,32.846
,2216.5,0.6,RSA_008b,32.841
,2226.3,0.3,RSA_009A,33.017
,2220.5,0.3,RSA_009b,32.908
,2218,0.8,RSA_010A,32.890
,2215,1.1,RSA_010B,32.890
,2221.7,0.4,RSA_011a,32.963
,2218.4,0.6,RSA_011B,32.959
,2222,0.7,RSA_012a,32.867
,2219.5,1.2,RSA_012b,32.846
,2224.1,0.9,RSA_013a,32.853
,2223.9,0.1,RSA_013b,32.854
,2222.9,1.2,RSA_014a,32.902
,2223.9,1.2,RSA_014b,32.894
,2225.7,0.2,RSA_015a,32.938
,2228,1.2,RSA_015b,32.935
,2227.7,0,RSA_016a,32.973
,2231.2,0.3,RSA_016b,32.976
,2226.6,0.3,RSA_017a,32.966
,2225.5,0.4,RSA_017b,32.962
,2224.6,0.1,RSA_018a,32.963
,2224.5,0.3,RSA_018b,32.959
,2225,0.8,RSA_019a,33.015
,2227.2,0.1,RSA_019b,33.006
,2229,1.4,RSA_020a,33.004
,2228,1.3,RSA_020b,32.989
,2225.7,1.1,RSA_021a,32.986
,2224.2,0.1,RSA_021b,32.989
,2225.9,0.3,RSA_022a,32.989
,2226.5,0.2,RSA_022b,33.057
,2229.7,0.7,RSA_023a,33.039
,2229.5,0.6,RSA_023b,33.035
,2224.6,0.2,RSA_024a,32.930
,2224.7,1,RSA_024b,32.947
,2232,0.3,RSA_025a,33.115
,2223.1,0.4,RSA_025b,32.648
,2230.3,0.6,RSA_026a,33.019
,2229.2,0.2,RSA_026b,32.981
,2232.1,1.3,RSA_027a,33.084
,2228.3,0.3,RSA_027b,32.849
,2221.5,0.5,RSA_028a,32.876
,2214.2,1.3,RSA_028b,32.875
,2225,1.2,RSA_029a,32.955
,2200.6,0.6,RSA_029b,32.295
,2208,0.4,RSA_030a,32.818
,2200.5,0,RSA_030b,32.462
,2212.7,0.5,RSA_031a,32.807
,2212.1,1.1,RSA_031b,32.746
,2216.7,0.8,RSA_032a,32.930
