TA Ancillary File,,,
Date:,5/22/21,,
Operator:,LC,,
Acid Batch (yymmdd):,,,
Certified CRM TA (umolkg-1):,2131.51,,
Certified CRM Salinity:,32.291,,
Calibration Temperature:,23.3,,
,,,
Sample Name ,Temperature,Salinity,Volume HgCl2 (uL)
ESL06b_01,23.3,32.291,50
RSA_012a,23.3,32.867,250
RSA_012b,23.3,32.846,250
RSA_013a,23.3,32.853,250
RSA_013b,23.3,32.854,250
RSA_014a,23.3,32.902,250
RSA_014b,23.3,32.894,250
RSA_015a,23.3,32.938,250
RSA_015b,23.3,32.935,250
RSA_016a,23.3,32.973,250
RSA_016b,23.3,32.976,250
RSA_017a,23.3,32.966,250
RSA_017b,23.3,32.962,250
RSA_018a,23.3,32.963,250
RSA_018b,23.3,32.959,250
RSA_019a,23.3,33.015,250
RSA_019b,23.3,33.006,250
RSA_020a,23.3,33.004,250
RSA_020b,23.3,32.989,250
RSA_021a,23.3,32.986,250
RSA_021b,23.3,32.989,250
RSA_022a,23.3,32.989,250
esl06b_01,23.3,32.291,50
