TA Ancillary File,,,
Date:,5/24/21,,
Operator:,LC,,
Acid Batch (yymmdd):,201104,,
Certified CRM TA (umolkg-1):,2131.51,,
Certified CRM Salinity:,32.291,,
Calibration Temperature:,23.4,,
,,,
Sample Name ,Temperature,Salinity,Volume HgCl2 (uL)
ESL06b_13,23.4,32.291,50
RSA_022b,23.4,33.057,250
RSA_023a,23.4,33.039,100
RSA_023b,23.4,33.035,100
RSA_024a,23.4,32.93,100
RSA_024b,23.4,32.947,100
RSA_025a,23.4,33.115,100
RSA_025b,23.4,32.648,100
RSA_026a,23.4,33.019,100
RSA_026b,23.4,32.981,100
RSA_027a,23.4,33.084,100
RSA_027b,23.4,32.849,100
RSA_028a,23.4,32.876,250
RSA_029a,23.4,32.955,250
esl06b_13,23.4,32.291,50
