Label,Salinity,Station,BottleID
L1,32.9899,5,RSA_005A
L2,33.0367,4,RSA_004A
L3,32.8461,8,RSA_008A
L4,33.0169,9,RSA_009A
L5,32.8668,12,RSA_012A
L6,32.9381,15,RSA_015A
L7,32.9114,34,RSA_034A
L8,33.5081,81,RSA_081A
L9,33.1154,25,RSA_025A
L10,32.9862,21,RSA_021A
L11,33.0042,20,RSA_020A
L12,32.9656,17,RSA_017A
L13,33.3029,49,RSA_049A
L14,34.3967,59,RSA_059A
L15,34.2395,64,RSA_064A
L16,33.5182,76,RSA_076A
L17,32.912,80,RSA_080A
L18,32.9299,24,RSA_024A
L19,33.315,58,RSA_058A
L20,32.9299,82,RSA_082A
L21,33.0463,84,RSA_084A
L22,32.9272,44,RSA_044A
L23,32.9726,42,RSA_042A
L24,32.8367,37,RSA_037A
D1,34.0456,87,RSA_087A
D2,33.0089,88,RSA_088A
D3,32.8549,97,RSA_097A
D4,32.9416,103,RSA_103A
D5,32.9174,100,RSA_100A
D6,32.8145,99,RSA_099A
D7,32.7982,105,RSA_105A
D8,32.9513,106,RSA_106A
D9,32.9457,109,RSA_109A
1,32.7421,,RSA_006A
2,32.7208,,RSA_006B
3,32.8459,,RSA_012B
4,32.9734,,RSA_016A
5,32.9757,,RSA_016B
6,32.9589,,RSA_021A
7,32.989,,RSA_022A
8,33.0566,,RSA_022B
9,32.9472,,RSA_024B
10,32.8184,,RSA_030A
11,32.462,,RSA_030B
12,32.6704,,RSA_039B
13,33.3611,,RSA_058B
14,32.5853,,RSA_067B
15,32.2979,,RSA_077B
16,32.7014,,RSA_081B
17,32.9032,,RSA_083B
18,33.0237,,RSA_111A
19,32.775,,RSA_111B
20,32.7195,,RSA_114A
21,32.6981,,RSA_114B
