Station,MLD,MLtemp,MLsigma
1,13.5,15.4061686098933,23.4579622076699
2,13.5,16.7413785732642,23.2034141759595
3,15.5,16.6843090931627,23.1180677739092
5,15.5,16.9686398865054,23.0344684628596
4,9.5,16.6903568367713,23.4602681610768
6,11.5,15.5020103542161,23.7565924884729
7,13.5,13.8515165079146,24.2967793164251
8,16.5,14.9349798336363,24.1066804950356
9,4.5,17.540374204277,23.4523779375287
10,23.5,16.2793970964338,23.9697385696577
11,9.5,16.7042158969608,23.7904953219249
12,72.5,16.4097835011897,23.8984877374958
13,65.5,17.7955748562673,23.5287088198143
14,9.5,16.5920387226887,23.8534832448409
15,10.5,16.4980681562951,23.8803542791249
16,19.5,16.6217959496873,23.855351417327
17,7.5,16.2361125756482,23.9598550719116
18,63.5,16.8917719441456,23.7794603268971
19,28.5,17.45999005429,23.6381489928348
20,13.5,16.9201226862169,23.6413056917601
21,11.5,16.8606340753717,23.8723050568517
24,26.5,16.7773061363415,23.8112091385465
25,23.5,17.2091524198312,23.6627770708401
26,28.5,16.9657077043652,23.7784214074127
27,26.5,16.5870192939443,23.8818410149492
28,42.5,17.6405936650721,23.5472379330995
29,27.5,16.6504591832609,23.8400002409119
30,19.5,15.8912507113375,24.0850556623851
31,8.5,16.5515686437552,23.8743622465283
32,51.5,17.713097206175,23.5380919190681
35,48.5,17.7851779215077,23.5097466097284
34,27.5,18.2097384146669,23.3749489799218
33,46.5,18.4184880364427,23.3294911540195
36,6.5,16.6628233913213,23.7152445916823
37,17.5,17.1384043023911,23.549816622547
38,15.5,16.831220760966,23.666112095937
39,20.5,17.141085279069,23.5794997915747
40,16.5,16.8269401405671,23.651563814961
41,15.5,17.0963246682084,23.840907885744
42,25.5,19.5296407932704,23.9453985724673
43,24.5,20.9043353097878,23.9883403104083
44,15.5,16.7474672993299,23.6795392407042
45,14.5,16.7834344892747,23.5931400040342
46,23.5,16.804713235797,23.8377971292781
47,14.5,17.1453351010461,23.7838998652598
48,15.5,16.6095755426866,23.7587632808233
50,18.5,17.0616818619378,23.6050178052644
51,7.5,17.1394925127488,23.5933812756971
56,12.5,17.306836312947,23.535590633775
55,13.5,17.1890496115011,23.5911339500229
52,13.5,17.1524019362645,23.6061160844731
49,9.5,17.4778584295397,23.4451843450757
53,9.5,18.068100828594,23.6442447931355
54,18.5,17.0375560567024,23.6413361123224
57,19.5,17.2640336453772,23.5863089088912
61,8.5,17.2917851073429,23.5562472093635
67,11.5,16.6393116768849,23.768781219789
68,11.5,16.6907269961283,23.7498182408955
66,17.5,16.6488331718825,23.7487752095485
62,16.5,17.0783791606132,23.6394859427146
60,21.5,17.9147660688767,23.7014634893715
65,9.5,16.5645392540282,23.7795098398321
63,18.5,16.851638750332,23.7041812066353
58,10.5,18.1077483411592,23.8068170192856
59,14.5,18.3843390863036,23.7099629274482
64,3.5,16.9626870670361,23.674598597328
69,14.5,16.1383195050266,23.9167492454557
70,16.5,16.410860155172,23.8201609044884
71,15.5,16.7364306324693,23.7062140337102
72,10.5,17.6655950667571,23.6561573222099
76,16.5,17.6427268183117,23.698976508826
77,13.5,18.9093221319775,23.7559193482282
78,14.5,16.4562097959141,23.8417620155743
73,9.5,16.9195694058314,23.6855008519378
74,11.5,16.4935466762374,23.8077354154551
79,10.5,16.1308819439048,23.9001295401507
75,9.5,16.9558743375175,23.6796970690016
80,14.5,18.7860673102903,23.7769841725519
81,10.5,20.9015007339795,23.8440517455542
82,9.5,17.1128145960444,23.6558821606573
83,17.5,16.3718747502629,23.8440107055982
84,12.5,17.0372815699521,23.6534531562287
86,13.5,17.1892566764438,23.6610618151018
87,21.5,17.5426454168032,23.7500894937561
93,23.5,18.5686164772947,23.8035243580905
88,14.5,16.8126593285603,23.8414892939007
85,16.5,16.5621349898963,23.7279496960411
89,17.5,16.3267358450166,23.8446946091047
90,58.5,16.2785122950548,23.8823415507282
91,46.5,15.848145443681,23.999609012874
97,15.5,16.0371955935981,23.9490566356551
96,13.5,16.981467125084,23.6950891019192
92,13.5,16.2704151674996,23.7887070370686
95,14.5,16.420157540719,23.7957538181236
94,19.5,17.3300187132766,23.7609932801811
103,24.5,17.8585904018194,23.8134861230885
102,10.5,16.219693340819,23.9423957573659
98,28.5,16.6014814697577,23.8634919885927
100,46.5,16.083291464294,24.083616642544
99,16.5,17.1238271478647,23.7831094962532
101,15.5,18.5977098317572,23.7180253466584
105,25.5,18.8689248150173,23.874345653126
106,26.5,20.6020687832391,23.8645953674981
109,30.5,20.0052168074115,23.8325473162299
110,24.5,18.4142210855988,23.8383214068604
108,21.5,19.3483561131738,23.7734628566786
107,27.5,16.6231989531971,24.007150420429
111,16.5,18.2863172396292,23.9453181199401
112,26.5,20.1150734429352,23.7017606803283
113,15.5,19.9570807919906,23.9202851890124
114,44.5,17.1179782746917,24.1320478926155
