Station,Cast,CTD_depth,Temp,Press,SeaPress,Salinity_Corr,O2,O2Sat
1,Bottom,44.80690621,10.30947409,54.74966732,44.61716732,32.55861997,241.2239867,84.87207365
1,Surface,2.5,16.49007289,12.59629286,2.46379286,31.67677923,274.3493411,109.0932648
2,Bottom,37.24861335,10.75573525,47.05143558,36.91893558,32.44021508,240.9490434,85.53655794
2,Surface,2.5,17.02470713,12.67826159,2.545761587,31.63771606,272.9647246,109.6568998
3,Bottom,74.83874507,8.760803324,85.03522723,74.90272723,33.0057,246.6409105,84.09879228
3,Surface,2.5,16.74988846,12.66403358,2.531533583,31.59911152,274.957251,109.840688
4,Bottom,106.5844807,9.145002323,117.1027306,106.9702306,32.9278,251.3807916,86.39921054
4,Surface,2.5,17.09010065,12.61976725,2.487267252,32.02143399,277.9537476,112.0661495
5,Bottom,64.50986527,10.10636442,74.0176965,63.8851965,32.607,248.5588563,87.11201608
5,Surface,2.5,17.07090789,12.39007608,2.25757608,31.6019,272.7309653,109.6238413
6,Bottom,46.73907281,11.45358194,56.87032122,46.73782122,32.61889161,253.5759653,91.48569214
6,Surface,2.5,15.95213079,12.5789312,2.446431196,32.18903249,274.4942577,108.3407708
7,Bottom,53.74904129,11.95668586,63.96007798,53.82757798,32.59855364,259.6930391,94.68902625
7,Surface,2.5,14.26167933,12.67618385,2.543683854,32.401682,264.4181364,101.0149271
8,Bottom,59.32839615,13.16642019,69.90414783,59.77164783,32.7304,257.9934283,96.54906313
8,Surface,2.5,15.29358808,12.7017815,2.569281497,32.44907267,263.5255119,102.8228133
9,Bottom,98.573616,8.652105584,108.0825149,97.95001493,32.6188,261.6634356,88.93965635
9,Surface,2.5,17.67929676,12.6428917,2.510391701,32.29034878,280.8813137,114.7314585
10,Bottom,74.35754047,12.37937273,85.00844731,74.87594731,32.78161686,254.3090817,93.66582994
10,Surface,2.5,17.07645596,12.65291363,2.520413627,32.76796343,273.8771556,110.8988884
11,Bottom,60.84884348,15.69863124,71.22513496,61.09263496,32.71298615,257.0653443,101.2805389
11,Surface,2.5,17.24676544,12.68432109,2.551821086,32.5935015,284.1074124,115.2984206
12,Bottom,72.62829468,16.4097835,82.94243616,72.80993616,32.687,262.1218548,104.7028223
12,Surface,2.5,16.55094174,12.75383786,2.621337864,32.6495003,269.5014671,107.9367997
13,Bottom,66.2785203,17.79557486,75.81262235,65.68012235,32.60973043,270.2290163,110.8425328
13,Surface,2.5,17.85161178,12.67644254,2.543942542,32.60378829,267.6138152,109.8837982
14,Bottom,70.1162809,14.87975791,80.19542574,70.06292574,32.75385344,254.352981,98.6097449
14,Surface,2.5,17.06130816,12.64387777,2.511377773,32.63614359,279.9020259,113.2137973
15,Bottom,62.37412584,14.78701076,72.79482087,62.66232087,32.7781,257.5600972,99.67812995
15,Surface,2.5,16.95690927,12.63724613,2.504746128,32.64492008,273.9311914,110.5802508
16,Bottom,81.21506344,9.485954965,91.4005644,81.2680644,32.6015,257.9979962,89.29346467
