Station,Lat,Long,Tow,Date (EDT),Time (EDT)
1,41° 42.00',69° 48.00',,4-Oct,21:31
2,41° 36.00',69° 42.00',,4-Oct,22:49
3,41° 36.00',69° 30.00',Yes,4-Oct,23:54
5,41° 30.00',69° 24.00',,5-Oct,1:13
4,41° 24.00',69° 18.00',,5-Oct,2:21
6,41° 18.00',69° 24.00',,5-Oct,3:21
7,41° 12.00',69° 18.00',,5-Oct,4:12
8,41° 6.00',69° 12.00',,5-Oct,5:05
9,41° 9.00',69° 0.00',,5-Oct,6:12
10,41° 0.00',69° 6.00',,5-Oct,7:14
11,40° 54.00',68° 54.00',,5-Oct,8:23
12,40° 54.00',68° 48.00',,5-Oct,9:07
13,40° 54.00',68° 42.00',Yes,5-Oct,9:38
14,41° 0.00',68° 48.00',,5-Oct,10:48
15,41° 6.00',68° 42.00',,5-Oct,11:40
16,41° 12.00',68° 48.00',,5-Oct,12:28
17,41° 12.00',68° 42.00',Yes,5-Oct,13:03
18,41° 12.00',68° 36.00',,5-Oct,13:57
19,41° 18.00',68° 30.00',,5-Oct,14:38
20,41° 21.00',68° 42.00',,5-Oct,15:49
21,41° 27.00',68° 36.00',Yes,5-Oct,16:23
22,41° 24.00',68° 24.00',,5-Oct,17:29
23,41° 30.00',68° 30.00',,5-Oct,18:32
24,41° 36.00',68° 24.00',,5-Oct,19:28
25,41° 48.00',68° 12.00',Yes,5-Oct,21:04
26,41° 48.00',68° 0.00',,5-Oct,22:20
27,41° 54.00',67° 54.00',,5-Oct,23:12
28,42° 0.00',67° 30.00',Yes,6-Oct,1:27
29,42° 6.00',67° 24.00',,6-Oct,2:34
30,42° 6.00',67° 12.00',Yes,6-Oct,3:40
31,42° 0.00',67° 12.00',,6-Oct,4:35
32,41° 54.00',67° 24.00',,6-Oct,6:05
35,41° 42.00',67° 18.00',,6-Oct,7:23
34,41° 36.00',67° 30.00',,6-Oct,8:42
33,41° 30.00',67° 42.00',,6-Oct,9:46
36,41° 30.00',67° 6.00',,6-Oct,13:14
37,41° 24.00',67° 0.00',Yes,6-Oct,14:19
38,41° 18.00',67° 6.00',,6-Oct,15:28
39,41° 18.00',66° 54.00',,6-Oct,16:30
40,41° 18.00',66° 42.00',Yes,6-Oct,17:30
41,41° 24.00',66° 36.00',,6-Oct,18:33
42,41° 18.00',66° 30.00',,6-Oct,19:20
43,41° 12.00',66° 24.00',,6-Oct,20:07
44,41° 12.00',66° 36.00',,6-Oct,21:06
45,41° 12.00',66° 48.00',,6-Oct,22:11
46,41° 6.00',66° 42.00',,6-Oct,23:00
47,41° 0.00',66° 36.00',,6-Oct,23:51
48,41° 0.00',66° 48.00',,7-Oct,0:54
50,41° 6.00',66° 54.00',Yes,7-Oct,2:01
51,41° 12.00',67° 0.00',,7-Oct,2:59
56,41° 12.00',67° 12.00',Yes,7-Oct,4:14
55,41° 6.00',67° 6.00',,7-Oct,5:19
52,41° 0.00',67° 0.00',,7-Oct,6:17
49,40° 54.00',66° 54.00',,7-Oct,7:11
53,40° 48.00',67° 0.00',,7-Oct,8:07
54,40° 54.00',67° 6.00',Yes,7-Oct,9:15
57,41° 0.00',67° 12.00',,7-Oct,10:26
61,41° 6.00',67° 18.00',Yes,7-Oct,11:21
