ID,Sample name,Sample no,Type,Analysis time,Spl volume(ml),Analysis result,Area net,Temperature(C),a,b,r,Bl before,Bl after,Time int,Area gross,Int State ,Analyzer
25714,JunkSW,,Neglect,5/25/21 9:29,1,497.1976188,8011.224388,0,6872.597656,2290.088867,0.62785399,1.811999917,2.382499933,172.5,8373,normally,
25715,JunkSW,,Unknow,5/25/21 9:33,1,1857.984396,11127.54704,0,6872.597656,2290.088867,0.62785399,1.735999823,2.489999771,181,11510,normally,
25716,JunkSW,,Unknow,5/25/21 9:38,1,1901.49088,11227.18075,0,6872.597656,2290.088867,0.62785399,1.68599987,2.557500124,171,11590,normally,
25717,JunkSW,,Unknow,5/25/21 9:42,1,1916.808745,11262.26002,0,6872.597656,2290.088867,0.62785399,1.735999823,2.349999905,180,11630,normally,
25718,JunkSW,,Unknow,5/25/21 9:46,1,1916.33467,11261.17435,0,6872.597656,2290.088867,0.62785399,1.7700001,2.362500191,178.5,11630,normally,
25719,JunkSW,,Unknow,5/25/21 9:50,1,1907.107143,11240.04249,0,6872.597656,2290.088867,0.62785399,1.667999983,2.630000114,167.5,11600,normally,
25720,JunkSW,,Unknow,5/25/21 9:55,1,1918.143183,11265.31601,0,6872.597656,2290.088867,0.62785399,1.737999916,2.292500019,176,11620,normally,
25721,esl06b_15,,Neglect,5/25/21 10:01,0.6,4.902531589,6879.333996,0,6872.597656,2290.088867,0.62785399,1.731999993,2.315000057,156,7195,normally,
25722,esl06b_15,,Unknow,5/25/21 10:05,0.6,15.6639414,6894.120747,0,6872.597656,2290.088867,0.62785399,1.664000154,2.244999886,156.5,7200,normally,
25723,esl06b_15,,Unknow,5/25/21 10:09,0.6,18.23607983,6897.655002,0,6872.597656,2290.088867,0.62785399,1.620000124,2.159999847,160.5,7201,normally,
25724,esl06b_15,,Neglect,5/25/21 10:15,0.8,1241.110999,9146.401242,0,6872.597656,2290.088867,0.62785399,1.654000044,2.377500057,165,9479,normally,
25725,esl06b_15,,Unknow,5/25/21 10:19,0.8,1235.21972,9135.608,0,6872.597656,2290.088867,0.62785399,1.623999953,2.200000048,166,9453,normally,
25726,esl06b_15,,Unknow,5/25/21 10:23,0.8,1234.276315,9133.879615,0,6872.597656,2290.088867,0.62785399,1.594000101,2.407500029,160.5,9455,normally,
25727,esl06b_15,,Unknow,5/25/21 10:27,0.8,1249.58925,9161.934001,0,6872.597656,2290.088867,0.62785399,1.674000025,2.289999962,163,9485,normally,
25728,esl06b_15,,Unknow,5/25/21 10:31,0.8,1246.048991,9155.447994,0,6872.597656,2290.088867,0.62785399,1.648000002,2.180000067,168,9477,normally,
25729,esl06b_15,,Unknow,5/25/21 10:35,0.8,1234.530001,9134.344386,0,6872.597656,2290.088867,0.62785399,1.679999948,2.267499924,165.5,9461,normally,
25730,esl06b_15,,Neglect,5/25/21 10:41,1,2042.224449,11549.47313,0,6872.597656,2290.088867,0.62785399,1.659999847,2.357500076,174.5,11900,normally,
25731,esl06b_15,,Out of d,5/25/21 10:45,1,1958.921397,11358.70174,0,6872.597656,2290.088867,0.62785399,1.55400002,2.265000105,173.5,11690,normally,
25732,esl06b_15,,Out of d,5/25/21 10:50,1,1971.665988,11387.88799,0,6872.597656,2290.088867,0.62785399,1.453999996,2.320000172,176,11720,normally,
25733,esl06b_15,,Out of d,5/25/21 10:54,1,1963.11086,11368.29598,0,6872.597656,2290.088867,0.62785399,1.562000036,2.310000181,176.5,11710,normally,
25734,esl06b_15,,Valid,5/25/21 10:58,1,1993.801385,11438.58001,0,6872.597656,2290.088867,0.62785399,1.711999893,2.539999962,170,11800,normally,
25735,esl06b_15,,Valid,5/25/21 11:02,1,1994.70139,11440.6411,0,6872.597656,2290.088867,0.62785399,1.612000108,2.277500153,174.5,11780,normally,
25736,esl06b_15,,Valid,5/25/21 11:07,1,1991.020538,11432.21162,0,6872.597656,2290.088867,0.62785399,1.634000063,2.237499952,174.5,11770,normally,
25737,esl06b_15,,Neglect,5/25/21 11:11,1.2,2476.868065,13679.29523,0,6872.597656,2290.088867,0.62785399,1.554000139,2.335000038,185.5,14040,normally,
25738,esl06b_15,,Unknow,5/25/21 11:16,1.2,2477.356494,13680.63749,0,6872.597656,2290.088867,0.62785399,1.580000043,2.305000067,185,14040,normally,
25739,esl06b_15,,Unknow,5/25/21 11:20,1.2,2478.847295,13684.73437,0,6872.597656,2290.088867,0.62785399,1.679999948,2.432500124,182.5,14060,normally,
25740,esl06b_15,,Neglect,5/25/21 11:25,1.4,2825.374122,15931.09861,0,6872.597656,2290.088867,0.62785399,1.612000108,2.492500067,189.5,16320,normally,
25741,esl06b_15,,Unknow,5/25/21 11:29,1.4,2827.134202,15936.74164,0,6872.597656,2290.088867,0.62785399,1.575999975,2.242499828,195.5,16310,normally,
25742,esl06b_15,,Unknow,5/25/21 11:34,1.4,2824.364771,15927.8625,0,6872.597656,2290.088867,0.62785399,1.430000067,2.484999895,185,16290,normally,
