ID,Sample name,Sample no,Type,Analysis time,Spl volume(ml),Analysis result,Area net,Temperature(C),a,b,r,Bl before,Bl after,Time int,Area gross,Int State ,Analyzer,
34612,junk,,Neglect,3/3/2022 9:38:04 AM,1,381.047695282374,7745.23074108362,0,6872.59765625,2290.0888671875,0.627853989601135,2.03200006484985,2.5550000667572,135.5,8056,normally,,
34613,junk,,Unknow,3/3/2022 9:41:45 AM,1,1893.12111444955,11208.0132446885,0,6872.59765625,2290.0888671875,0.627853989601135,1.8860000371933,2.39750003814697,141,11510,normally,,
34614,junk,,Unknow,3/3/2022 9:45:27 AM,1,1936.05863779887,11306.3439888954,0,6872.59765625,2290.0888671875,0.627853989601135,1.68600010871887,2.45000004768372,142,11600,normally,,
34615,junk,,Unknow,3/3/2022 9:49:05 AM,1,1936.23456170719,11306.7468702793,0,6872.59765625,2290.0888671875,0.627853989601135,1.79800009727478,2.46749997138977,137.5,11600,normally,,
34616,junk,,Unknow,3/3/2022 9:52:46 AM,1,1942.37979323848,11320.8199965954,0,6872.59765625,2290.0888671875,0.627853989601135,1.82400000095367,2.45000004768372,140,11620,normally,,
34617,junk,,Unknow,3/3/2022 9:56:25 AM,1,1943.1763843373,11322.6442610025,0,6872.59765625,2290.0888671875,0.627853989601135,1.8659999370575,2.41249990463257,139,11620,normally,,
34618,ESL09a_18,,Neglect,3/3/2022 10:01:14 AM,1.4,2898.91162976017,16166.8690066338,0,6872.59765625,2290.0888671875,0.627853989601135,1.71399998664856,2.51749992370605,148,16480,normally,,
34619,ESL09a_18,,Valid,3/3/2022 10:05:22 AM,1.4,2937.16829556295,16289.5246368647,0,6872.59765625,2290.0888671875,0.627853989601135,1.63599991798401,2.3824999332428,159.5,16610,normally,,
34620,ESL09a_18,,Out of d,3/3/2022 10:09:23 AM,1.4,2943.23266613881,16308.9677634239,0,6872.59765625,2290.0888671875,0.627853989601135,1.7739999294281,2.42249989509583,153,16630,normally,,
34621,ESL09a_18,,Valid,3/3/2022 10:13:26 AM,1.4,2938.67536926424,16294.3565026522,0,6872.59765625,2290.0888671875,0.627853989601135,1.72599983215332,2.3600001335144,154.5,16610,normally,,
34622,ESL09a_18,,Valid,3/3/2022 10:17:30 AM,1.4,2938.34491181354,16293.2970149517,0,6872.59765625,2290.0888671875,0.627853989601135,1.74599993228912,2.44249987602234,156,16620,normally,,
34623,ESL09a_18,,Neglect,3/3/2022 10:21:21 AM,1.2,2592.75085771618,13997.753505826,0,6872.59765625,2290.0888671875,0.627853989601135,1.74199986457825,2.31500005722046,149,14300,normally,,
34624,ESL09a_18,,Valid,3/3/2022 10:25:11 AM,1.2,2590.45127623412,13991.4340106845,0,6872.59765625,2290.0888671875,0.627853989601135,1.73399996757507,2.36999988555908,145.5,14290,normally,,
34625,ESL09a_18,,Valid,3/3/2022 10:29:02 AM,1.2,2595.14263929897,14004.3263766766,0,6872.59765625,2290.0888671875,0.627853989601135,1.73399996757507,2.30250000953674,146.5,14300,normally,,
34626,ESL09a_18,,Valid,3/3/2022 10:32:55 AM,1.2,2592.77797178861,13997.8280181885,0,6872.59765625,2290.0888671875,0.627853989601135,1.73599982261658,2.3199999332428,149,14300,normally,,
34627,ESL09a_18,,Neglect,3/3/2022 10:36:34 AM,1,2109.08184996523,11702.5825208426,0,6872.59765625,2290.0888671875,0.627853989601135,1.70999979972839,2.22499990463257,141,11980,normally,,
34628,ESL09a_18,,Unknow,3/3/2022 10:40:17 AM,1,2098.59234199614,11678.5606154203,0,6872.59765625,2290.0888671875,0.627853989601135,1.66000008583069,2.26250004768372,143.5,11960,normally,,
34629,ESL09a_18,,Unknow,3/3/2022 10:44:01 AM,1,2096.74383246646,11674.3273643255,0,6872.59765625,2290.0888671875,0.627853989601135,1.71399998664856,2.26750016212463,143.5,11960,normally,,
34630,ESL09a_18,,Neglect,3/3/2022 10:47:31 AM,0.8,1368.54737024275,9379.87373369932,0,6872.59765625,2290.0888671875,0.627853989601135,1.7700001001358,2.40250015258789,129,9649,normally,,
34631,ESL09a_18,,Unknow,3/3/2022 10:50:55 AM,0.8,1363.39815344101,9370.44000244141,0,6872.59765625,2290.0888671875,0.627853989601135,1.72000002861023,2.3199999332428,128,9629,normally,,
34632,ESL09a_18,,Unknow,3/3/2022 10:54:23 AM,0.8,1367.08577742906,9377.19599175453,0,6872.59765625,2290.0888671875,0.627853989601135,1.61800003051758,2.15000009536743,131,9624,normally,,
34633,ESL09a_18,,Unknow,3/3/2022 10:57:47 AM,0.8,1359.72675838384,9363.71374568343,0,6872.59765625,2290.0888671875,0.627853989601135,1.62399995326996,2.25500011444092,127.5,9611,normally,,
