ID,Sample name,Sample no,Type,Analysis time,Spl volume(ml),Analysis result,Area net,Temperature(C),a,b,r,Bl before,Bl after,Time int,Area gross,Int State ,Analyzer,
28999,junk,,Neglect,10/18/2021 10:27:33 AM,1,-105.313225028793,6631.42101204395,0,6872.59765625,2290.0888671875,0.627853989601135,0.807999968528748,1.5149998664856,146,6801,normally,,
29000,junk,,Unknow,10/18/2021 10:31:15 AM,1,1834.70766322109,11074.2412503362,0,6872.59765625,2290.0888671875,0.627853989601135,0.620000004768372,1.44749999046326,141,11220,normally,,
29001,junk,,Unknow,10/18/2021 10:34:57 AM,1,1986.98985473551,11422.9810017943,0,6872.59765625,2290.0888671875,0.627853989601135,0.504000008106232,1.2849999666214,142,11550,normally,,
29002,junk,,Unknow,10/18/2021 10:38:38 AM,1,1975.90223815407,11397.5893744975,0,6872.59765625,2290.0888671875,0.627853989601135,0.459999978542328,1.28250002861023,140.5,11520,normally,,
29003,junk,,Unknow,10/18/2021 10:42:19 AM,1,1968.16918904491,11379.8800048232,0,6872.59765625,2290.0888671875,0.627853989601135,0.43599995970726,1.27999997138977,140,11500,normally,,
29004,junk,,Unknow,10/18/2021 10:45:59 AM,1,1971.96969459192,11388.5835002661,0,6872.59765625,2290.0888671875,0.627853989601135,0.333999991416931,1.12000000476837,139.5,11490,normally,,
29005,junk,,Unknow,10/18/2021 10:49:37 AM,1,1967.2772983202,11377.8374958038,0,6872.59765625,2290.0888671875,0.627853989601135,0.315999984741211,1.17000007629395,137.5,11480,normally,,
29006,junk,,Unknow,10/18/2021 10:53:11 AM,1,1964.00973959424,11370.3544959426,0,6872.59765625,2290.0888671875,0.627853989601135,0.374000012874603,1.26250004768372,134,11480,normally,,
29007,junk,,Unknow,10/18/2021 10:56:52 AM,1,1968.6199885292,11380.9123757035,0,6872.59765625,2290.0888671875,0.627853989601135,0.34799998998642,1.0625,140.5,11480,normally,,
29008,ESL_08b_21,,Neglect,10/18/2021 11:10:49 AM,1.4,2736.8874265439,15647.3992530331,0,6872.59765625,2290.0888671875,0.627853989601135,0.133999988436699,1.09249997138977,151,15740,normally,,
29009,ESL_08b_21,,Unknow,10/18/2021 11:14:46 AM,1.4,2720.31016860133,15594.2505016252,0,6872.59765625,2290.0888671875,0.627853989601135,0.126000002026558,1.02499997615814,149,15680,normally,,
29010,ESL_08b_21,,Unknow,10/18/2021 11:18:46 AM,1.4,2721.07206953299,15596.6932508033,0,6872.59765625,2290.0888671875,0.627853989601135,0.0159999988973141,0.822499990463257,151,15660,normally,,
29011,ESL_08b_21,,Neglect,10/18/2021 11:23:33 AM,1.2,2369.25716322083,13383.5689998455,0,6872.59765625,2290.0888671875,0.627853989601135,0.0519999973475933,0.995000004768372,146,13460,normally,,
29012,ESL_08b_21,,Unknow,10/18/2021 11:27:25 AM,1.2,2365.80078383155,13374.0705006933,0,6872.59765625,2290.0888671875,0.627853989601135,0.0120000001043081,0.884999990463257,147,13440,normally,,
29013,ESL_08b_21,,Single m,10/18/2021 11:31:14 AM,1.2,2364.26568220662,13369.8518777238,0,6872.59765625,2290.0888671875,0.627853989601135,-0.0199999995529652,0.852499961853027,144.5,13430,normally,,
29014,ESL_08b_21,,Neglect,10/18/2021 11:36:46 AM,1,1879.96038306089,11177.8740002513,0,6872.59765625,2290.0888671875,0.627853989601135,-0.068000003695488,0.6875,136,11220,normally,,
29015,ESL_08b_21,,Out of d,10/18/2021 11:40:25 AM,1,1875.72255465364,11168.1689965948,0,6872.59765625,2290.0888671875,0.627853989601135,-0.181999996304512,0.64000004529953,139,11200,normally,,
29016,ESL_08b_21,,Out of d,10/18/2021 11:43:59 AM,1,1868.21345858318,11150.9724992812,0,6872.59765625,2290.0888671875,0.627853989601135,-0.159999996423721,0.742500007152557,134,11190,normally,,
29017,ESL_08b_21,,Valid,10/18/2021 11:47:34 AM,1,1871.67271183506,11158.8944966421,0,6872.59765625,2290.0888671875,0.627853989601135,-0.233999997377396,0.700000047683716,133.5,11190,normally,,
29018,ESL_08b_21,,Out of d,10/18/2021 11:51:15 AM,1,1879.71410407859,11177.3099994957,0,6872.59765625,2290.0888671875,0.627853989601135,-0.25,0.430000007152557,141,11190,normally,,
