ID,Sample name,Sample no,Type,Analysis time,Spl volume(ml),Analysis result,Area net,Temperature(C),a,b,r,Bl before,Bl after,Time int,Area gross,Int State ,Analyzer,
30347,junk,,Neglect,11/9/2021 9:51:30 AM,1,109.2116340167,7122.702003479,0,6872.59765625,2290.0888671875,0.627853989601135,2.41799998283386,3.46749997138977,152,7570,normally,,
30348,junk,,Out of d,11/9/2021 9:55:31 AM,1,1803.99128188271,11003.8980073929,0,6872.59765625,2290.0888671875,0.627853989601135,2.58599996566772,3.30999994277954,161.5,11480,normally,,
30349,junk,,Out of d,11/9/2021 9:59:29 AM,1,1889.27487257173,11199.2050089836,0,6872.59765625,2290.0888671875,0.627853989601135,2.53999996185303,3.32999992370605,157,11660,normally,,
30350,junk,,Out of d,11/9/2021 10:03:22 AM,1,1846.18658965283,11100.5290119648,0,6872.59765625,2290.0888671875,0.627853989601135,2.4539999961853,3.15999984741211,153,11530,normally,,
30351,junk,,Out of d,11/9/2021 10:07:05 AM,1,1843.92346157721,11095.3462475538,0,6872.59765625,2290.0888671875,0.627853989601135,2.40400004386902,3.13499999046326,142.5,11490,normally,,
30352,junk,,Out of d,11/9/2021 10:10:51 AM,1,1851.28180981965,11112.1975189447,0,6872.59765625,2290.0888671875,0.627853989601135,2.28399991989136,3.06499981880188,145,11500,normally,,
30353,junk,,Out of d,11/9/2021 10:14:36 AM,1,1855.69811252615,11122.311244607,0,6872.59765625,2290.0888671875,0.627853989601135,2.16200017929077,3.04749989509583,145,11500,normally,,
30354,junk,,Out of d,11/9/2021 10:18:18 AM,1,1859.72743069621,11131.5387412906,0,6872.59765625,2290.0888671875,0.627853989601135,2.1800000667572,3.06500005722046,140.5,11500,normally,,
30355,junk,,Out of d,11/9/2021 10:22:02 AM,1,1856.30452939774,11123.6999931335,0,6872.59765625,2290.0888671875,0.627853989601135,2.15000009536743,2.9375,144,11490,normally,,
30356,junk,,Out of d,11/9/2021 10:25:51 AM,1,1861.58489897691,11135.7925087214,0,6872.59765625,2290.0888671875,0.627853989601135,2.18400001525879,2.8899998664856,147.5,11510,normally,,
30357,ESL_08b_24,,Neglect,11/9/2021 10:49:18 AM,1.4,2673.96059775991,15445.6480109692,0,6872.59765625,2290.0888671875,0.627853989601135,2.01199984550476,2.98000001907349,162,15850,normally,,
30358,ESL_08b_24,,Valid,11/9/2021 10:53:23 AM,1.4,2673.68798740254,15444.7739882469,0,6872.59765625,2290.0888671875,0.627853989601135,2.132000207901,2.93499994277954,156,15840,normally,,
30359,ESL_08b_24,,Valid,11/9/2021 10:57:28 AM,1.4,2671.33351325425,15437.2252511978,0,6872.59765625,2290.0888671875,0.627853989601135,2.0460000038147,2.95749998092651,157,15830,normally,,
30360,ESL_08b_24,,Valid,11/9/2021 11:01:33 AM,1.4,2673.75438987518,15444.9868828356,0,6872.59765625,2290.0888671875,0.627853989601135,1.96999990940094,2.82249999046326,156.5,15820,normally,,
30361,ESL_08b_24,,Neglect,11/9/2021 11:06:12 AM,1.2,2328.52666773138,13271.637254715,0,6872.59765625,2290.0888671875,0.627853989601135,1.96399998664856,2.67499995231628,154.5,13630,normally,,
30362,ESL_08b_24,,Unknow,11/9/2021 11:10:06 AM,1.2,2324.16188834521,13259.642375499,0,6872.59765625,2290.0888671875,0.627853989601135,1.83200013637543,2.58749985694885,149.5,13590,normally,,
30363,ESL_08b_24,,Unknow,11/9/2021 11:14:04 AM,1.2,2325.96021453126,13264.5843676329,0,6872.59765625,2290.0888671875,0.627853989601135,1.71000003814697,2.50250005722046,154.5,13590,normally,,
30364,ESL_08b_24,,Neglect,11/9/2021 11:17:42 AM,1,1836.548966022,11078.4579973817,0,6872.59765625,2290.0888671875,0.627853989601135,1.7720000743866,2.53999996185303,144.5,11390,normally,,
30365,ESL_08b_24,,Unknow,11/9/2021 11:21:28 AM,1,1841.12357331559,11088.9342546165,0,6872.59765625,2290.0888671875,0.627853989601135,1.70200002193451,2.46499991416931,144.5,11390,normally,,
30366,ESL_08b_24,,Unknow,11/9/2021 11:25:10 AM,1,1837.28452873166,11080.1425013542,0,6872.59765625,2290.0888671875,0.627853989601135,1.67000007629395,2.41249990463257,142,11370,normally,,
30367,ESL_08b_24,,Single m,11/9/2021 11:28:51 AM,1,1837.74848119474,11081.2049937248,0,6872.59765625,2290.0888671875,0.627853989601135,1.7260000705719,2.54250001907349,140,11380,normally,,
30368,ESL_08b_24,,Neglect,11/9/2021 11:36:59 AM,0.8,1113.71269716021,8912.99849545956,0,6872.59765625,2290.0888671875,0.627853989601135,1.67599999904633,2.3675000667572,138,9192,normally,,
30369,ESL_08b_24,,Unknow,11/9/2021 11:40:38 AM,0.8,1100.34544994486,8888.50874823332,0,6872.59765625,2290.0888671875,0.627853989601135,1.71399998664856,2.33500003814697,142.5,9177,normally,,
30370,ESL_08b_24,,Unknow,11/9/2021 11:44:09 AM,0.8,1135.09723774689,8952.17649412155,0,6872.59765625,2290.0888671875,0.627853989601135,1.82800006866455,2.54250001907349,134,9245,normally,,
30371,ESL_08b_24,,Unknow,11/9/2021 11:47:41 AM,0.8,1138.85772896912,8959.06598138809,0,6872.59765625,2290.0888671875,0.627853989601135,1.88800013065338,2.53750014305115,136,9260,normally,,
30372,ESL_08b_24,,Unknow,11/9/2021 11:51:14 AM,0.8,1140.42584180464,8961.93887558579,0,6872.59765625,2290.0888671875,0.627853989601135,1.8639999628067,2.53250002861023,136.5,9262,normally,,
30373,ESL_08b_24,,Single m,11/9/2021 11:54:43 AM,0.8,1133.06920242807,8948.46098923683,0,6872.59765625,2290.0888671875,0.627853989601135,1.78400003910065,2.55750012397766,132,9235,normally,,
30374,ESL_08b_24,,Neglect,11/9/2021 12:01:22 PM,0.8,1136.16931554405,8954.14061686397,0,6872.59765625,2290.0888671875,0.627853989601135,1.86000001430511,2.57750010490417,136.5,9257,normally,,
30375,ESL_08b_24,,Out of d,11/9/2021 12:04:54 PM,0.8,1139.02721778089,8959.37649694085,0,6872.59765625,2290.0888671875,0.627853989601135,1.84799993038178,2.63000011444092,136.5,9265,normally,,
