LongW,LongE,LatN,LatS,ResTime
-70,-69.5,42.5,42,2.2
-69.5,-69,42.5,42,4
-69,-68.5,42.5,42,4.2
-68.5,-68,42.5,42,4.7
-68,-67.5,42.5,42,3.5
-67.5,-67,42.5,42,2
-67,-66.5,42.5,42,1.6
-66.5,-66,42.5,42,2
-70,-69.5,42,41.5,2.1
-69.5,-69,42,41.5,3.6
-69,-68.5,42,41.5,4.1
-68.5,-68,42,41.5,2.9
-68,-67.5,42,41.5,3.2
-67.5,-67,42,41.5,2.8
-67,-66.5,42,41.5,3.7
-66.5,-66,42,41.5,2.5
-70,-69.5,41.5,41,5.3
-69.5,-69,41.5,41,5.7
-69,-68.5,41.5,41,4
-68.5,-68,41.5,41,1.7
-68,-67.5,41.5,41,2.7
-67.5,-67,41.5,41,5.9
-67,-66.5,41.5,41,5
-66.5,-66,41.5,41,2.7
-70,-69.5,41,40.5,3
-69.5,-69,41,40.5,4.5
-69,-68.5,41,40.5,4.3
-68.5,-68,41,40.5,3.2
-68,-67.5,41,40.5,3.9
-67.5,-67,41,40.5,2.9
-67,-66.5,41,40.5,2.2
-66.5,-66,41,40.5,5.3
-70,-69.5,40.5,40,3.4
-69.5,-69,40.5,40,2.1
-69,-68.5,40.5,40,3.9
-68.5,-68,40.5,40,2.2
-68,-67.5,40.5,40,1.8
-67.5,-67,40.5,40,2.9
-67,-66.5,40.5,40,6.2
-66.5,-66,40.5,40,4.1
