Station,Cast,BottleID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity bottle,Preservation,Pres_Vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temperature,Temperature_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,Dissolved_oxygen
1,Surface,RSA_001A,20210502,41°42.01',69°47.78',41°41.90',69°47.85',24.3,44.4,NA,1:31,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2,7.535838118,2,32.40640596,2,2039.9,2,2192,,305.6243966
1,Bottom,RSA_001B,20210502,41°42.01',69°47.78',41°41.90',69°47.85',24.3,44.4,1:31,1:31,1:33,1:39,1:43,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,46.39418381,6.986346436,2,32.44675456,2,2034,2,2195.2,,299.5486147
2,Bottom,RSA_002A,20210502,41°36.09',69°41.99',41°36.10',69°41.89',19.7,36,2:48,2:49,2:50,2:53,2:55,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,37.67806976,6.958532715,2,32.53606003,2,2043.1,2,2197.7,,305.1544176
2,Surface,RSA_002B,20210502,41°36.09',69°41.99',41°36.10',69°41.89',19.7,36,NA,2:49,NA,NA,NA,NA,Mercuric,100,Lots of headspace - around 2 inches,NA,NA,NA,NA,NA,NA,NA,NA,,2,6.962791661,2,32.50378256,2,2047.7,2,2199,,304.7432803
3,Bottom,RSA_003A,20210502,41°36.22',69°30.26',41°36.28',69°30.24,41.4,75.7,3:53,3:54,3:55,3:58,4:00,NA,Mercuric,100,,16:10,16:26,41°36.22,69°30.26,41°35.04,69°28.80,1306,50,,76.88881653,6.792474365,2,33.00339046,2,2074.2,2,2227.3,,300.1318342
3,Surface,RSA_003B,20210502,41°36.22',69°30.26',41°36.28',69°30.24,41.4,75.7,NA,3:54,NA,NA,NA,NA,Mercuric,100,,16:10,16:26,41°36.22,69°30.26,41°35.04,69°28.80,1306,50,,2,7.236771773,2,32.8765091,2,2054,2,2221.9,,312.8540059
4,Bottom,RSA_004A,20210502,41°23.64',69°17.71',41°23.68',69°17.67',58.2,106.4,6:20,6:21,6:24,6:26,6:28,L2,Benzalkonium and mercuric,250,Lots of headspace - around 1 inch,NA,NA,NA,NA,NA,NA,NA,NA,,107.4057767,6.717486572,2,33.0367,2,2080.3,2,2225.3,,297.9233758
4,Surface,RSA_004B,20210502,41°23.64',69°17.71',41°23.68',69°17.67',58.2,106.4,NA,6:21,NA,NA,NA,NA,Benzalkonium and mercuric,250,Lots of headspace - around 1 inch,NA,NA,NA,NA,NA,NA,NA,NA,,2,7.162040202,2,33.07966635,2,2066.8,2,2227.9,,306.0274443
5,Bottom,RSA_005A,20210502,41°30.58',69°23.99',41°30.56',69°23.90',36.6,66.9,5:11,5:13,5:15,5:18,5:21,L1,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,67.87361115,7.166271973,2,32.9899,2,2065.8,2,2227.3,,305.4302654
5,Surface,RSA_005B,20210502,41°30.58',69°23.99',41°30.56',69°23.90',36.6,66.9,NA,5:13,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2,7.398135173,2,32.95348425,2,2056.8,2,2225.3,,312.0778819
