Station,Cast,Bottle_ID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity bottle,Preservation,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Notes,Salinity,Salinity_FLAG,Temperature,Temperature_FLAG,Dissolved_oxygen,Depth_meters_CTD,TA,TA_FLAG,DIC,DIC_FLAG
1,Deep,RSA_001B,20210502,41°42.01',69°47.78',41°41.90',69°47.85',24.3,44.43984,1:31,1:31,1:33,1:39,1:43,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,32.70093623,2,6.988067627,2,299.5486147,46.39418381,2192.760472,3,2034.201814,2
1,Shallow,RSA_001A,20210502,41°42.01',69°47.78',41°41.90',69°47.85',24.3,44.43984,NA,1:31,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,32.83934354,2,7.543601162,2,305.6243966,46.39418381,2189.227398,3,2039.823512,2
2,Deep,RSA_002A,20210502,41°36.09',69°41.99',41°36.10',69°41.89',19.7,36.02736,2:48,2:49,2:50,2:53,2:55,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,32.71782948,2,6.958557129,2,305.1544176,37.67806976,2195.417747,3,2043.435402,2
2,Shallow,RSA_002B,20210502,41°36.09',69°41.99',41°36.10',69°41.89',19.7,36.02736,NA,2:49,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,Lots of headspace - around 2 inches,32.58744299,2,6.981889879,2,304.7432803,37.67806976,2196.970044,3,2048.099217,2
3,Deep,RSA_003A,20210502,41°36.22',69°30.26',41°36.28',69°30.24,41.4,75.71232,3:53,3:54,3:55,3:58,4:00,NA,Mercuric,16:10,16:26,41°36.22,69°30.26,41°35.04,69°28.80,1306,,32.81890084,2,6.789825439,2,300.1318342,76.88881653,2224.826401,3,2075.004069,2
3,Shallow,RSA_003B,20210502,41°36.22',69°30.26',41°36.28',69°30.24,41.4,75.71232,NA,3:54,NA,NA,NA,NA,Mercuric,16:10,16:26,41°36.22,69°30.26,41°35.04,69°28.80,1306,,32.90184135,2,7.248159206,2,312.8540059,76.88881653,2221.812175,2,2055.005162,2
5,Deep,RSA_005A,20210502,41°30.58',69°23.99',41°30.56',69°23.90',36.6,66.93408,5:11,5:13,5:15,5:18,5:21,L1,Mercuric,NA,NA,NA,NA,NA,NA,NA,,32.92098714,2,7.166351318,2,305.4302654,67.87361115,2229.089348,3,2066.460558,2
5,Shallow,RSA_005B,20210502,41°30.58',69°23.99',41°30.56',69°23.90',36.6,66.93408,NA,5:13,NA,NA,NA,NA,Mercuric,NA,NA,NA,NA,NA,NA,NA,,32.96439774,2,7.37458433,2,312.0778819,67.87361115,2223.068081,2,2057.36112,2
4,Deep,RSA_004A,20210502,41°23.64',69°17.71',41°23.68',69°17.67',58.2,106.43616,6:20,6:21,6:24,6:26,6:28,L2,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,Lots of headspace - around 1 inch,32.81051928,2,6.717590332,2,297.9233758,107.4057767,2223.115401,3,2081.22736,2
4,Shallow,RSA_004B,20210502,41°23.64',69°17.71',41°23.68',69°17.67',58.2,106.43616,NA,6:21,NA,NA,NA,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,Lots of headspace - around 1 inch,32.9497564,2,7.29123052,2,306.0274443,107.4057767,2224.299745,3,2067.519509,2
6,Deep,RSA_006A,20210502,41°18.00,69°29.03',41°17.93',69°23.98',24.0,43.8912,NA,7:21,7:22,7:25,7:26,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,CTD off,,-999,,-999,,,2210.139903,3,2048.289209,2
6,Shallow,RSA_006B,20210502,41°18.00,69°29.03',41°17.93',69°23.98',24.0,43.8912,NA,7:21,NA,NA,NA,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,,-999,,-999,,,2207.582079,2,2057.071044,2
7,Deep,RSA_007A,20210502,41°12.15',69°17.78',41°12.08',69°17.71',28.9,52.85232,8:11,8:12,8:14,8:17,8:18,NA,Benzalkonium and mercuric,NA,NA,NA,NA,NA,NA,NA,,32.85584097,2,7.008026123,2,301.2388536,53.90016907,2221.189822,2,2074.174211,2
