DateProcessed,ScallopID,ShellHt_mm,Sex,Mus_Boat1_g,Boat+WetMus_g,WetMus_g,Mus_Boat2_g,Boat+DryMus_g,DryMus_g,Gon_Boat1_g,Boat+WetGon_g,WetGon_g,Gon_Boat2_g,Boat+DryGon_g,DryGon_g,Man_Boat1_g,Boat+WetMan_g,WetMan_g,Man_Boat2_g,Boat+DryMan_g,DryMan_g,ShellWt_g,Notes
7/21/21,099_12,94,M,3.69,25.19,21.5,3.75,5.6,1.85,3.69,11.39,7.7,3.75,5.39,1.64,3.69,13.25,9.56,3.75,5.66,1.91,62.19,
7/21/21,021_23,150,F,3.69,59.95,56.26,3.75,12.41,8.66,3.69,21.32,17.63,3.75,6.35,2.6,3.69,26.15,22.46,3.75,6.1,2.35,209.4,
7/21/21,050_11,109,F,3.69,28.73,25.04,3.75,9.55,5.8,3.69,6.06,2.37,3.75,4.02,0.27,3.69,18.32,14.63,3.75,6.84,3.09,61.27,
7/21/21,099_16,138,F,3.69,68.71,65.02,3.75,19.25,15.5,3.69,23.98,20.29,3.75,6.66,2.91,3.69,29.45,25.76,3.75,5.21,1.46,117.32,
7/21/21,088_35,143,M,3.69,28.07,24.38,3.75,10.12,6.37,3.69,7.75,4.06,3.75,4.47,0.72,3.69,16.3,12.61,3.75,5.07,1.32,57.88,
7/21/21,088_01,138,M,3.69,50.86,47.17,3.75,14.66,10.91,3.69,13.3,9.61,3.75,4.56,0.81,3.69,35,31.31,3.75,4.21,0.46,149.85,
7/21/21,030_42,74,F,3.69,12.41,8.72,3.75,5.82,2.07,3.69,6.78,3.09,3.75,4.34,0.59,3.69,8.32,4.63,3.75,4.38,0.63,38.03,
7/21/21,030_41,110,F,3.69,37.7,34.01,3.75,12.43,8.68,3.69,19.67,15.98,3.75,6.86,3.11,3.69,24.03,20.34,3.75,5.56,1.81,125.59,
7/21/21,088_03,138,F,3.69,50.05,46.36,3.75,12.1,8.35,3.69,9.36,5.67,3.75,4.23,0.48,3.69,33.05,29.36,3.75,7.85,4.1,190.36,
7/21/21,017_26,126,M,3.69,38.16,34.47,3.75,10.15,6.4,3.69,8.42,4.73,3.75,4.47,0.72,3.69,23.31,19.62,3.75,6.03,2.28,143.53,
7/22/21,099_09,125,M,3.69,49.42,45.73,NA,NA,NA,3.69,17.22,13.53,3.75,6.38,2.63,3.69,30.4,26.71,3.75,6.64,2.89,116.31,Lost muscle to maggots
7/22/21,054_17,103,F,3.69,18.08,14.39,NA,NA,NA,3.69,6.22,2.53,3.75,4.14,0.39,3.69,12.83,9.14,3.75,4.74,0.99,50.8,Lost muscle to maggots
7/22/21,050_13,92,M,3.69,22.57,18.88,NA,NA,NA,3.69,6.53,2.84,3.75,4.19,0.44,3.69,14.91,11.22,3.75,5.16,1.41,39.17,Lost muscle to maggots
7/22/21,054_02,77,M,3.69,12.16,8.47,3.75,5.74,1.99,3.69,7,3.31,3.75,4.51,0.76,3.69,9.32,5.63,3.75,5.02,1.27,21.96,
7/22/21,017_01,117,M,3.69,41.93,38.24,NA,NA,NA,3.69,8.46,4.77,3.75,4.57,0.82,3.69,24.55,20.86,3.75,6.15,2.4,123.85,Lost muscle to maggots
