Station,Cast,Bottle_ID,Filtered,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temperature,Temp_FLAG,Salinity,Pres_vol_ug,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,Dissolved_oxygen
1,Bottom,RSA_229,,20211005,41°42.00',69°48.00',41°41.95',69°48.15',23.1,42.2,5:50,5:50,5:53,5:58,6:00,,Mercuric,rain; gear caught on niskin,NA,NA,NA,NA,NA,NA,NA,,,44.80690621,10.30947409,,32.5586,100,,2100.1,,,,
1,Surface,RSA_230,,20211005,41°42.00',69°48.00',41°41.95',69°48.15',23.1,42.2,NA,5:52,NA,NA,NA,,Mercuric,rain,NA,NA,NA,NA,NA,NA,NA,,,44.80690621,16.49007289,,31.6768,100,,1947,,,,
2,Bottom,RSA_231,Y,20211005,41°36.02',69°42.04',41°36.19',69°42.10',18.6,34,7:07,7:13,7:16,7:21,7:23,,Mercuric,rain,NA,NA,NA,NA,NA,NA,NA,,,37.24861335,10.75573525,,32.4402,100,,2102,,,,
2,Bottom,RSA_232,,20211005,41°36.02',69°42.04',41°36.19',69°42.10',18.6,34,7:07,7:13,7:16,7:21,7:23,,Mercuric,rain,NA,NA,NA,NA,NA,NA,NA,,,37.24861335,10.75573525,,32.4402,100,,2099.1,,,,
2,Surface,RSA_233,,20211005,41°36.02',69°42.04',41°36.19',69°42.10',18.6,34,NA,7:22,NA,NA,NA,,Mercuric,rain; petcock & valve fell out,NA,NA,NA,NA,NA,NA,NA,,,37.24861335,17.02470713,,31.6377,100,,1931.6,,,,
3,Bottom,RSA_236,,20211005,41°36.04',69°30.08',41°36.08',69°30.28',40,73.2,8:59,9:00,9:03,9:06,9:09,D1,Mercuric,rain,9:22,9:35,41°35.58',69°29.62',41°34.73',69°28.72',1188,50,,74.83874507,8.760803324,,33.0057,100,,2119.9,,,,
3,Surface,RSA_237,,20211005,41°36.04',69°30.08',41°36.08',69°30.28',40,73.2,NA,9:02,NA,NA,NA,,Mercuric,rain; petcock finicky,9:22,9:35,41°35.58',69°29.62',41°34.73',69°28.72',1188,50,,74.83874507,16.74988846,,31.5991,100,,1946.2,,,,
4,Bottom,RSA_242,Y,20211005,41°24.16',69°18.14',41°24.13',69°18.17',57.2,104.6,12:06,12:08,12:11,12:14,12:16,D3,Mercuric,rain,NA,NA,NA,NA,NA,NA,NA,,,106.5844807,9.145002323,,32.9278,100,,1934.6,,,,
4,Bottom,RSA_241,,20211005,41°24.16',69°18.14',41°24.13',69°18.17',57.2,104.6,12:06,12:08,12:11,12:14,12:16,D3,Mercuric,rain,NA,NA,NA,NA,NA,NA,NA,,,106.5844807,9.145002323,,32.9278,100,,2103.7,,,,
4,Surface,RSA_243,,20211005,41°24.16',69°18.14',41°24.13',69°18.17',57.2,104.6,NA,12:13,NA,NA,NA,,Mercuric,rain; petcock finicky,NA,NA,NA,NA,NA,NA,NA,,,106.5844807,17.09010065,,32.0214,100,,2118.7,,,,
5,Bottom,RSA_238,,20211005,41°30.26',69°24.25',41°30.32',69°24.33',34.2,62.5,10:47,10:48,10:49,10:53,10:55,D2,Mercuric,rain,NA,NA,NA,NA,NA,NA,NA,,,64.50986527,10.10636442,,32.607,100,,2118.6,,,,
5,Surface,RSA_239,,20211005,41°30.26',69°24.25',41°30.32',69°24.33',34.2,62.5,NA,10:51,NA,NA,NA,,Mercuric,rain; petcock finicky,NA,NA,NA,NA,NA,NA,NA,,,64.50986527,17.07090789,,31.5816,100,,1944.5,,,,
