Station,Cast,Bottle_ID,Filtered,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity bottle,Notes,Preservation,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Salinity,Salinity_FLAG,Temperature,Temperature_FLAG,Dissolved_oxygen,Depth_meters_CTD,TA,TA_FLAG,DIC,DIC_FLAG
1,Bottom,RSA_229,,20211005,41°42.00',69°48.00',41°41.95',69°48.15',23.1,42.2,5:50,5:50,5:53,5:58,6:00,,rain; gear caught on niskin,Mercuric,,,,,,,,,,,,,,,,,
1,Surface,RSA_230,,20211005,41°42.00',69°48.00',41°41.95',69°48.15',23.1,42.2,NA,5:52,NA,NA,NA,,rain,Mercuric,,,,,,,,,,,,,,,,,
2,Bottom,RSA_231,Y,20211005,41°36.02',69°42.04',41°36.19',69°42.10',18.6,34.0,7:07,7:13,7:16,7:21,7:23,,rain,Mercuric,,,,,,,,,,,,,,,,,
2,Bottom,RSA_232,,20211005,41°36.02',69°42.04',41°36.19',69°42.10',18.6,34.0,7:07,7:13,7:16,7:21,7:23,,rain,Mercuric,,,,,,,,,,,,,,,,,
2,Surface,RSA_233,,20211005,41°36.02',69°42.04',41°36.19',69°42.10',18.6,34.0,NA,7:22,NA,NA,NA,,rain; petcock & valve fell out,Mercuric,,,,,,,,,,,,,,,,,
3,Bottom,RSA_236,,20211005,41°36.04',69°30.08',41°36.08',69°30.28',40,73.2,8:59,9:00,9:03,9:06,9:09,D1,rain,Mercuric,,,,,,,,,,,,,,,,,
3,Surface,RSA_237,,20211005,41°36.04',69°30.08',41°36.08',69°30.28',40,73.2,NA,9:02,NA,NA,NA,,rain; petcock finicky,Mercuric,,,,,,,,,,,,,,,,,
5,Bottom,RSA_238,,20211005,41°30.26',69°24.25',41°30.32',69°24.33',34.2,62.5,10:47,10:48,10:49,10:53,10:55,D2,rain,Mercuric,,,,,,,,,,,,,,,,,
5,Surface,RSA_239,,20211005,41°30.26',69°24.25',41°30.32',69°24.33',34.2,62.5,NA,10:51,NA,NA,NA,,rain; petcock finicky,Mercuric,,,,,,,,,,,,,,,,,
4,Bottom,RSA_241,,20211005,41°24.16',69°18.14',41°24.13',69°18.17',57.2,104.6,12:06,12:08,12:11,12:14,12:16,D3,rain,Mercuric,,,,,,,,,,,,,,,,,
4,Bottom,RSA_242,Y,20211005,41°24.16',69°18.14',41°24.13',69°18.17',57.2,104.6,12:06,12:08,12:11,12:14,12:16,D3,rain,Mercuric,,,,,,,,,,,,,,,,,
