BottleID,TA_avg,TA_stdev,Salinity,Flag
RSA_001A,2192,0.2,32.406,
RSA_001B,2195.2,0.7,32.447,
RSA_002A,2197.7,0.7,32.536,
RSA_002B,2199,0.5,32.504,
RSA_003A,2227.3,1.1,33.003,
RSA_003B,2221.9,0.3,32.877,
RSA_004A,2225.3,0.3,33.037,
RSA_004B,2227.9,0.3,33.08,
RSA_005A,2227.3,0.2,32.99,
RSA_005B,2225.3,0.3,32.953,
RSA_006A,2212.4,0.1,32.742,
RSA_006B,2209.7,1.3,32.721,
RSA_007A,2222.7,1,32.94,
RSA_007B,2222.2,0.4,32.93,
RSA_008A,2214.1,1.1,32.846,
RSA_008B,2216.5,0.6,32.841,
RSA_009A,2226.3,0.3,33.017,
RSA_009B,2220.5,0.3,32.908,
RSA_010A,2218,0.8,32.89,
RSA_010B,2215,1.1,32.89,
RSA_011A,2221.7,0.4,32.963,
RSA_011B,2218.4,0.6,32.959,
RSA_012A,2222,0.7,32.867,
RSA_012B,2219.5,1.2,32.846,
RSA_013A,2224.1,0.9,32.853,
RSA_013B,2223.9,0.1,32.854,
RSA_014A,2222.9,1.2,32.902,
RSA_014B,2223.9,1.2,32.894,
RSA_015A,2225.7,0.2,32.938,
RSA_015B,2228,1.2,32.935,
RSA_016A,2227.7,0,32.973,
RSA_016B,2231.2,0.3,32.976,
RSA_017A,2226.6,0.3,32.966,
RSA_017B,2225.5,0.4,32.962,
RSA_018A,2224.6,0.1,32.963,
RSA_018B,2224.5,0.3,32.959,
RSA_019A,2225,0.8,33.015,
RSA_019B,2227.2,0.1,33.006,
RSA_020A,2229,1.4,33.004,
RSA_020B,2228,1.3,32.989,
RSA_021A,2225.7,1.1,32.986,
RSA_021B,2224.2,0.1,32.989,
RSA_022A,2225.9,0.3,32.989,
RSA_022B,2226.5,0.2,33.057,
RSA_023A,2229.7,0.7,33.039,
RSA_023B,2229.5,0.6,33.035,
RSA_024A,2224.6,0.2,32.93,
RSA_024B,2224.7,1,32.947,
RSA_025A,2232,0.3,33.115,
RSA_025B,2223.1,0.4,32.648,
RSA_026A,2230.3,0.6,33.019,
RSA_026B,2229.2,0.2,32.981,
RSA_027A,2232.1,1.3,33.084,
RSA_027B,2228.3,0.3,32.849,
RSA_028A,2221.5,0.5,32.876,
RSA_028B,2214.2,1.3,32.875,
RSA_029A,2225,1.2,32.955,
RSA_029B,2200.6,0.6,32.295,
RSA_030A,2208,0.4,32.818,
RSA_030B,2200.5,0,32.462,
RSA_031A,2212.7,0.5,32.807,
RSA_031B,2212.1,1.1,32.746,
RSA_032A,2216.7,0.8,32.93,
RSA_032B,2217.3,0.1,32.919,
RSA_033A,2221.3,0.3,32.954,
RSA_033B,2220,1.4,32.977,
RSA_034A,2215.4,0.3,32.911,
RSA_034B,2218.5,0.4,32.922,
RSA_035A,2227.5,0.3,32.925,
RSA_035B,2220.6,1,32.921,
RSA_036A,2226.9,0.7,32.927,
RSA_036B,2227,0.5,32.981,
RSA_037A,2220.2,0.3,32.837,
RSA_037B,2220.5,1,32.75,
RSA_038A,2219.5,1.3,32.887,
RSA_038B,2219.8,0.2,33.039,
RSA_039A,2215.6,0.5,32.74,
RSA_039B,2208.5,0.2,32.67,
RSA_040A,2219.2,1.1,32.843,
RSA_040B,2215,0.9,32.838,
RSA_041A,2215.4,0.1,32.816,
RSA_041B,2214.9,0.2,32.735,
RSA_042A,2227.8,0.7,32.973,
