TA Ancillary File,,,
Date:,2/21/22,,
Operator:,DT,,
Acid Batch (yymmdd):,211103,,
Certified CRM TA (umolkg-1):,2118.1,,
Certified CRM Salinity:,31.789,,
Calibration Temperature:,22.1,,
,,,
Sample Name ,Temperature,Salinity,Volume HgCl2 (uL)
ESL09a_01,22.1,31.789,50
RSA_335,22.1,33.361,100
RSA_336,22.1,32.586,100
RSA_337,22.1,34.451,100
RSA_338,22.1,32.722,100
RSA_339,22.1,32.486,100
RSA_340,22.1,32.486,100
RSA_341,22.1,33.765,100
RSA_342,22.1,33.033,100
RSA_343,22.1,32.415,100
RSA_344,22.1,32.756,100
RSA_345,22.1,32.349,100
ESL09a_01,22.1,31.789,50
