BottleID,Temp,Salinity,DIC_avg,TA_avg,TA_flag,CTD_depth
RSA_001A,7.535838118,32.406,2039.9,2192,,46.0159751
RSA_001B,6.986346436,32.447,2034,2195.2,,46.0159751
RSA_002A,6.958532715,32.536,2043.1,2197.7,,37.3144683
RSA_002B,6.962791661,32.504,2047.7,2199,,37.3144683
RSA_003A,6.792474365,33.003,2074.2,2227.3,,76.2587901
RSA_003B,7.236771773,32.877,2054,2221.9,,76.2587901
RSA_004A,6.717486572,33.037,2080.3,2225.3,,106.505564
RSA_004B,7.162040202,33.08,2066.8,2227.9,,106.505564
RSA_005A,7.166271973,32.99,2065.8,2227.3,,67.3134612
RSA_005B,7.398135173,32.953,2056.8,2225.3,,67.3134612
RSA_006A,NA,32.742,2048.1,2212.4,,NA
RSA_006B,NA,32.721,2056.9,2209.7,,NA
RSA_007A,7.007533046,32.94,2073.5,2222.7,,53.4684454
RSA_007B,7.001048279,32.93,2076.8,2222.2,,53.4684454
RSA_008A,7.037729899,32.846,2066,2214.1,,58.2780693
RSA_008B,7.029827881,32.841,2071.6,2216.5,,58.2780693
RSA_009A,6.92109375,33.017,2075.9,2226.3,,97.7731717
RSA_009B,7.044778006,32.908,2072.7,2220.5,,97.7731717
RSA_010A,7.042840576,32.89,2070.9,2218,,75.1368356
RSA_010B,7.029380798,32.89,2071.5,2215,,75.1368356
RSA_011A,7.368804932,32.963,2068.1,2221.7,,72.4068858
RSA_011B,7.368745931,32.959,2067.9,2218.4,,72.4068858
RSA_012A,NA,32.867,2058.4,2222,,NA
RSA_012B,NA,32.846,2059.2,2219.5,,NA
RSA_013A,7.528625488,32.853,2052.6,2224.1,,63.0712091
RSA_013B,7.546907261,32.854,2052.9,2223.9,,63.0712091
RSA_014A,7.37963693,32.902,2066.7,2222.9,,65.4790656
RSA_014B,7.428157737,32.894,2062,2223.9,,65.4790656
RSA_015A,7.320712284,32.938,2053.8,2225.7,,58.5129042
RSA_015B,7.425742885,32.935,2056.9,2228,,58.5129042
RSA_016A,NA,32.973,2066.3,2227.7,,NA
RSA_016B,NA,32.976,2073.2,2231.2,,NA
RSA_017A,7.213043213,32.966,2069.6,2226.6,,65.8499419
RSA_017B,7.356968386,32.962,2069.8,2225.5,,65.8499419
RSA_018A,7.426965332,32.963,2069.2,2224.6,,59.9606495
RSA_018B,7.467552185,32.959,2057.6,2224.5,,59.9606495
RSA_019A,7.429125977,33.015,2078.8,2225,,59.093677
RSA_019B,7.466015625,33.006,2078.8,2227.2,,59.093677
RSA_020A,7.003765869,33.004,2073.9,2229,,93.9493718
RSA_020B,7.16027832,32.989,2079.4,2228,,93.9493718
RSA_021A,7.108575439,32.986,2072,2225.7,,76.9915767
RSA_021B,7.268623354,32.989,2076.4,2224.2,,76.9915767
RSA_022A,NA,32.989,2078.1,2225.9,,NA
RSA_022B,NA,33.057,2066.4,2226.5,,NA
RSA_023A,7.222849528,33.039,2081.7,2229.7,,95.6019853
RSA_023B,7.29156901,33.035,2082,2229.5,,95.6019853
