Station,Cast,BottleID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temp,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,Dissolved_oxygen
1,Surface,RSA_001A,20210502,41°42.01',69°47.78',41°41.90',69°47.85',24.3,44.4,NA,1:31,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.535838118,2,12.78529084,2,2.652791142,2,32.4064,2,2039.9,2,2192,NA,305.6243966
2,Surface,RSA_002B,20210502,41°36.09',69°41.99',41°36.10',69°41.89',19.7,36,NA,2:49,NA,NA,NA,NA,Mercuric,100,Lots of headspace - around 2 inches,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,6.962791661,2,12.66125699,2,2.5287573,2,32.5038,2,2047.7,2,2199,NA,304.7432803
3,Surface,RSA_003B,20210502,41°36.22',69°30.26',41°36.28',69°30.24',41.4,75.7,NA,3:54,NA,NA,NA,NA,Mercuric,100,,16:10,16:26,41°36.22,69°30.26,41°35.04,69°28.80,1306,50,,2.5,7.236771773,2,12.70847976,2,2.575980067,2,32.8765,2,2054,2,2221.9,NA,312.8540059
4,Surface,RSA_004B,20210502,41°23.64',69°17.71',41°23.68',69°17.67',58.2,106.4,NA,6:21,NA,NA,NA,NA,Benzalkonium and mercuric,250,Lots of headspace - around 1 inch,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.162040202,2,12.53698759,2,2.40448789,2,33.0797,2,2066.8,2,2227.9,NA,306.0274443
5,Surface,RSA_005B,20210502,41°30.58',69°23.99',41°30.56',69°23.90',36.6,66.9,NA,5:13,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.398135173,2,12.63229173,2,2.499792035,2,32.9535,2,2056.8,2,2225.3,NA,312.0778819
7,Surface,RSA_007B,20210502,41°12.15',69°17.78',41°12.08',69°17.71',28.9,52.9,NA,8:12,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.001048279,2,12.64149594,2,2.508996248,2,32.9299,2,2076.8,2,2222.2,NA,300.0632357
8,Surface,RSA_008B,20210502,41°06.12',69°12.10',41°06.04',69°12.01',32.3,59.1,NA,9:05,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.029827881,2,12.62341145,2,2.490911756,2,32.8414,2,2071.6,2,2216.5,NA,299.5012482
9,Surface,RSA_009B,20210502,41°07.97',68°59.85',41°07.88',68°59.73',53.4,97.7,NA,10:12,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.044778006,2,12.65100193,2,2.518502235,2,32.9078,2,2072.7,2,2220.5,NA,297.7872051
10,Surface,RSA_010B,20210502,40°59.84',69°05.27',40°59.67',69°05.28',40.8,74.6,NA,11:14,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.029380798,2,12.61564445,2,2.48314476,2,32.89,2,2071.5,2,2215,NA,299.1619673
11,Surface,RSA_011B,20210502,40°53.92',68°54.24',40°53.85',68°54.25',38.2,69.9,NA,12:23,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.368745931,2,12.6429756,2,2.5104759,2,32.9587,2,2067.9,2,2218.4,NA,304.015727
