Station,Cast,BottleID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temp,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,Dissolved_oxygen
1,Bottom,RSA_001B,20210502,41°42.01',69°47.78',41°41.90',69°47.85',24.3,44.4,1:31,1:31,1:33,1:39,1:43,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,46.39418381,6.986346436,2,55.90284602,2,45.77034632,2,32.4468,2,2034,2,2195.2,NA,299.5486147
2,Bottom,RSA_002A,20210502,41°36.09',69°41.99',41°36.10',69°41.89',19.7,36,2:48,2:49,2:50,2:53,2:55,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,37.67806976,6.958532715,2,47.63403416,2,37.50153446,2,32.5361,2,2043.1,2,2197.7,NA,305.1544176
3,Bottom,RSA_003A,20210502,41°36.22',69°30.26',41°36.28',69°30.24',41.4,75.7,3:53,3:54,3:55,3:58,4:00,NA,Mercuric,100,,16:10,16:26,41°36.22,69°30.26,41°35.04,69°28.80,1306,50,,76.88881653,6.792474365,2,86.76404572,2,76.63154602,2,33,2,2074.2,2,2227.3,NA,300.1318342
4,Bottom,RSA_004A,20210502,41°23.64',69°17.71',41°23.68',69°17.67',58.2,106.4,6:20,6:21,6:24,6:26,6:28,L2,Benzalkonium and mercuric,250,Lots of headspace - around 1 inch,NA,NA,NA,NA,NA,NA,NA,NA,,107.4057767,6.717486572,2,117.3282433,2,107.1957436,2,33.0367,2,2080.3,2,2225.3,NA,297.9233758
5,Bottom,RSA_005A,20210502,41°30.58',69°23.99',41°30.56',69°23.90',36.6,66.9,5:11,5:13,5:15,5:18,5:21,L1,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,67.87361115,7.166271973,2,77.13929818,2,67.00679848,2,32.9899,2,2065.8,2,2227.3,NA,305.4302654
7,Bottom,RSA_007A,20210502,41°12.15',69°17.78',41°12.08',69°17.71',28.9,52.9,8:11,8:12,8:14,8:17,8:18,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,53.90016907,7.007533046,2,63.82110314,2,53.68860344,2,32.9402,2,2073.5,2,2222.7,NA,301.2388536
8,Bottom,RSA_008A,20210502,41°06.12',69°12.10',41°06.04',69°12.01',32.3,59.1,9:05,9:05,9:06,9:09,9:10,L3,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,58.72117584,7.037729899,2,68.81687818,2,58.68437849,2,32.8461,2,2066,2,2214.1,NA,300.5646849
9,Bottom,RSA_009A,20210502,41°07.97',68°59.85',41°07.88',68°59.73',53.4,97.7,10:11,10:12,10:14,10:17,10:19,L4,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,98.5916745,6.92109375,2,108.1895316,2,98.0570319,2,33.0169,2,2075.9,2,2226.3,NA,297.5819977
10,Bottom,RSA_010A,20210502,40°59.84',69°05.27',40°59.67',69°05.28',40.8,74.6,11:14,11:14,11:15,11:18,11:20,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,75.77828186,7.042840576,2,85.83917084,2,75.70667114,2,32.8902,2,2070.9,2,2218,NA,299.8584057
11,Bottom,RSA_011A,20210502,40°53.92',68°54.24',40°53.85',68°54.25',38.2,69.9,12:23,12:23,12:25,12:27,12:28,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,73.03740662,7.368804932,2,82.77562332,2,72.64312363,2,32.9635,2,2068.1,2,2221.7,NA,304.26408730000003
13,Bottom,RSA_013A,20210502,40°53.79',68°42.18',40°53.78',68°42.12',34.3,62.7,13:36,13:38,13:39,13:41,13:42,NA,Benzalkonium and mercuric,250,,13:48,14:03,40°54.16,68°42.42,40°55.00,68°43.36,0,0,Rocks,63.92988556,7.528625488,2,73.70691299,2,63.5744133,2,32.8533,2,2052.6,2,2224.1,NA,308.7198928
14,Bottom,RSA_014A,20210502,41°00.03',68°47.77',41°00.06',68°47.98',36.3,66.4,14:47,14:48,14:50,14:51,14:52,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,66.03125732,7.37963693,2,75.85697319,2,65.7244735,2,32.9018,2,2066.7,2,2222.9,NA,306.5771617
15,Bottom,RSA_015A,20210502,41°06.17',68°41.99',41°06.32',68°42.01',32.2,58.9,15:40,15:40,15:41,15:47,15:47,L6,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,59.02493256,7.320712284,2,68.99129486,2,58.85879517,2,32.9381,2,2053.8,2,2225.7,NA,307.8286679
17,Bottom,RSA_017A,20210502,41°12.16',68°42.26',41°12.22',68°42.20',35,64,17:02,17:03,17:05,17:08,17:09,L12,Benzalkonium and mercuric,250,,17:12,17:27,41°12.30,68°42.16,41°12.27,68°40.26,53,50,,66.39179962,7.213043213,2,76.06489236,2,65.93239267,2,32.9656,2,2069.6,2,2226.6,NA,305.4301965
18,Bottom,RSA_018A,20210502,41°12.04',68°35.71',41°12.17',NA,33,60.4,17:57,17:57,17:58,18:00,18:01,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,60.45032,7.426965332,2,70.30398941,2,60.17148972,2,32.963,2,2069.2,2,2224.6,NA,310.2296073
19,Bottom,RSA_019A,20210502,41°17.50',68°30.16',41°17.69',68°30.09',31.9,58.3,18:38,18:38,18:40,18:42,18:44,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,59.58232,7.429125977,2,69.67708842,2,59.54458872,2,33.0153,2,2078.8,2,2225,NA,308.768
20,Bottom,RSA_020A,20210502,41°21.06',68°41.78',41°21.12',68°41.76',51.2,93.6,19:49,19:49,19:50,19:52,19:53,L11,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,94.73071,7.003765869,2,104.220842,2,94.08834229,2,33.0042,2,2073.9,2,2229,NA,303.8080718
