DIC_avg,SD,n,BottleID,,,,
2100.1,0.3,2,RSA_229,,,,
1947,1.1,3,RSA_230,,,,
2102,1.3,2,RSA_231,,,,
2099.1,1,2,RSA_232,,,,
1931.6,0.2,2,RSA_233,,,,
2119.9,1.1,2,RSA_236,,,,
1946.2,0.2,2,RSA_237,,,,
1934.6,0.9,3,RSA_238,,,,
2103.7,0.1,2,RSA_239,,,,
2118.7,0.5,2,RSA_241,,,,
2118.6,0.4,4,RSA_242,,,,
1944.5,0.2,2,RSA_243,,,,
2085.5,0.2,2,RSA_244,,,,
2086,0.4,2,RSA_245,,,,
1979.3,0.9,2,RSA_246,,,,
2073.4,0.1,2,RSA_247,,,,
2025.6,0.8,2,RSA_248,,,,
2065.7,0.3,2,RSA_249,,,,
2011.1,0.5,2,RSA_250,,,,
2075.6,0.3,2,RSA_251,,,,
2030.1,0.1,2,RSA_252,,,,
1947.8,0.6,3,RSA_253,,,,
1997.9,0.6,2,RSA_254,,,,
2026.3,0.9,2,RSA_255,,,,
2041.1,0.4,3,RSA_256,,,,
1987.3,0.5,4,RSA_257,,,,
2011.5,0.3,2,RSA_258,,,,
2004.8,0.5,2,RSA_259,,,,
2004.2,0,2,RSA_260,,,,
2049.8,0.5,2,RSA_261,,,,
2050,0.3,2,RSA_262,,,,
1990.8,0.8,2,RSA_263,,,,
2006.6,0.5,2,RSA_264,,,,
2065.1,1.2,2,RSA_265,,,,
1981.4,0.8,2,RSA_266,,,,
2064.3,0.9,2,RSA_267,,,,
2005.1,1,3,RSA_268,,,,
2072.8,0.6,2,RSA_269,,,,
2019.5,0.9,3,RSA_270,,,,
2018.6,0.8,2,RSA_271,,,,
2019.7,0,2,RSA_272,,,,
2010.5,0.6,3,RSA_273,,,,
2074.5,0.3,2,RSA_274,,,,
2114.6,1.2,2,RSA_275,,,,
2009,0.9,2,RSA_276,,,,
1966.9,0.1,2,RSA_277,,,,
2119,0.1,2,RSA_278,,,,
1992.6,1.2,2,RSA_279,,,,
2118.4,1,2,RSA_280,,,,
2017.1,1.3,2,RSA_281,,,,
2040,1.1,2,RSA_282,,,,
1998,0.9,2,RSA_283,,,,
2023,0.8,2,RSA_284,,,,
2026,1,2,RSA_285,,,,
2019.6,0.1,2,RSA_286,,,,
2099.9,0.2,2,RSA_287,,,,
2003.8,0.6,2,RSA_288,,,,
2005.4,0.6,2,RSA_289,,,,
2074.4,1.2,2,RSA_290,,,,
2008.4,0.9,3,RSA_291,,,,
2002.4,0.9,2,RSA_292,,,,
2007.8,1.3,2,RSA_293,,,,
2006.6,1.3,2,RSA_294,,,,
2102.7,0.7,2,RSA_295,,,,
2004.7,1.2,2,RSA_296,,,,
2061.1,1.2,2,RSA_297,,,,
2021.7,0,2,RSA_298,,,,
2020.2,0.6,2,RSA_299,,,,
2028.2,0.6,2,RSA_300,,,,
2013.9,0.6,2,RSA_301,,,,
2009.6,0.7,2,RSA_302,,,,
2002,0.8,3,RSA_303,,,,
2003.7,0.6,3,RSA_304,,,,
2001.7,0.4,2,RSA_305,,,,
2003.8,1,2,RSA_306,,,,
2002.4,0.3,2,RSA_307,,,,
2004.9,1.3,2,RSA_308,,,,
2001.5,0.3,2,RSA_309,,,,
1993.9,0.6,2,RSA_310,,,,
1992.8,0.5,2,RSA_311,,,,
1993.6,0.3,2,RSA_312,,,,
2022.5,0.2,2,RSA_313,,,,
1991.4,0,2,RSA_314,,,,
1973.7,0.5,2,RSA_315,,,,
1975.3,1.2,2,RSA_316,,,,
2062.6,0.8,2,RSA_317,,,,
2058.2,0.6,2,RSA_318,,,,
1985.1,0.2,2,RSA_319,,,,
2096.3,1.2,2,RSA_320,,,,
1979.7,0.6,2,RSA_321,,,,
2084,0.6,3,RSA_322,,,,
1977.6,0.9,2,RSA_323,,,,
2088.5,0.4,2,RSA_324,,,,
2087.2,0.9,2,RSA_325,,,,
1981.8,0.6,2,RSA_326,,,,
