V1,V2,V3,V4,V5
NA,NA,44.61716732,69°48.00',41°42.00'
NA,NA,2.46379286,69°48.00',41°42.00'
NA,NA,36.91893558,69°42.04',41°36.02'
NA,NA,2.545761587,69°42.04',41°36.02'
NA,NA,74.90272723,69°30.08',41°36.04'
NA,NA,2.531533583,69°30.08',41°36.04'
NA,NA,2.2576,69°24.25',41°30.26'
NA,NA,63.8851965,69°24.25',41°30.26'
NA,NA,106.9702306,69°18.14',41°24.16'
NA,NA,2.487267252,69°18.14',41°24.16'
NA,NA,46.73782122,69°24.02',41°18.06'
NA,NA,2.446431196,69°24.02',41°18.06'
NA,NA,53.82757798,69°18.11',41°12.14'
NA,NA,2.543683854,69°18.11',41°12.14'
NA,NA,59.77164783,69°12.00',41°06.04'
NA,NA,2.569281497,69°12.00',41°06.04'
NA,NA,74.87594731,69°06.07',40°59.88'
NA,NA,97.95001493,69°00.06',41°08.98'
NA,NA,2.510391701,69°00.06',41°08.98'
NA,NA,2.520413627,68°47.99',40°59.88'
NA,NA,72.80993616,68°47.99',40°54.01'
NA,NA,61.09263496,68°53.96',40°53.92'
NA,NA,2.551821086,68°53.96',40°53.92'
NA,NA,2.621337864,68°47.99',40°54.01'
NA,NA,65.68012235,68°42.01',40°53.99'
NA,NA,2.543942542,68°42.01',40°53.99'
NA,NA,62.66232087,68°42.05',41°05.97'
NA,NA,70.06292574,68°47.99',40°59.96'
NA,NA,2.511377773,68°47.99',40°59.96'
NA,NA,2.504746128,68°42.05',41°05.97'
NA,NA,81.2680644,68°48.05',41°12.09'
NA,NA,2.490507406,68°48.05',41°12.09'
NA,NA,67.67025257,68°42.07',41°12.00'
NA,NA,2.461555674,68°42.07',41°12.00'
NA,NA,63.79352706,68°36.03',41°12.05'
NA,NA,2.598169842,68°36.03',41°12.05'
NA,NA,61.08887209,68°29.98',41°18.04'
NA,NA,2.492518764,68°29.98',41°18.04'
NA,NA,60.7,68°24.00',41°23.95'
NA,NA,93.24429813,68°41.82',41°20.87'
NA,NA,0,68°24.00',41°23.95'
NA,NA,2.269948018,68°41.82',41°20.87'
NA,NA,94.92476929,68°36.04',41°26.95'
NA,NA,2.476334409,68°36.04',41°26.95'
NA,NA,92.9,68°30.04',41°29.93'
NA,NA,0,68°30.04',41°29.93'
NA,NA,41.55384794,68°00.04',41°48.06'
NA,NA,2.344999628,68°11.99',41°48.01'
NA,NA,26.22473835,68°24.04',41°35.96'
NA,NA,2.61642255,68°24.04',41°35.96'
NA,NA,88.05977055,68°11.99',41°48.01'
NA,NA,2.615455327,68°00.04',41°48.06'
NA,NA,63.91595546,67°54.00',41°54.02'
