Sal ID,Bottle Label,Salinity,,,,,,,,,,,,,,,
1,RSA_006A,32.7421,,,,,,,,,,,,,,,
2,RSA_006B,32.7208,,,,,,,,,,,,,,,
3,RSA_012B,32.8459,,,,,,,,,,,,,,,
4,RSA_016A,32.9734,,,,,,,,,,,,,,,
5,RSA_016B,32.9757,,,,,,,,,,,,,,,
6,RSA_021A,32.9589,,,,,,,,,,,,,,,
7,RSA_022A,32.989,,,,,,,,,,,,,,,
8,RSA_022B,33.0566,,,,,,,,,,,,,,,
9,RSA_024B,32.9472,,,,,,,,,,,,,,,
10,RSA_030A,32.8184,,,,,,,,,,,,,,,
11,RSA_030B,32.462,,,,,,,,,,,,,,,
12,RSA_039B,32.6704,,,,,,,,,,,,,,,
13,RSA_058B,33.3611,,,,,,,,,,,,,,,
14,RSA_067B,32.5853,,,,,,,,,,,,,,,
15,RSA_077B,32.2979,,,,,,,,,,,,,,,
16,RSA_081B,32.7014,,,,,,,,,,,,,,,
17,RSA_083B,32.9032,,,,,,,,,,,,,,,
18,RSA_111A,33.0237,,,,,,,,,,,,,,,
19,RSA_111B,32.775,,,,,,,,,,,,,,,
20,RSA_114A,32.7195,,,,,,,,,,,,,,,
21,RSA_114B,32.6981,,,,,,,,,,,,,,,
22,20211208_ESL_01,31.7604,,,,,,,,,,,,,,,
23,20211208_ESL_02,31.7614,,,,,,,,,,,,,,,
24,20211208_ESL_03,31.7573,,,,,,,,,,,,,,,
