Station,CTDDepth,BottomDepth,BottomSalinity,SurfaceDepth,SurfaceSalinity
1,46.0159750871134,45.5,32.4687937467539,1.5,32.4230970575756
2,37.3144683349412,37.5,32.5577807367942,1.5,32.0694770984702
3,76.258790119886,75.5,33.0234445476534,1.5,32.9265433497399
5,67.313461193209,66.5,33.0101433448708,1.5,32.975193273844
4,106.505564209976,106.5,33.0493240358988,1.5,33.0134090759756
7,53.4684454061567,53.5,32.9604559115195,1.5,32.9540433960915
8,58.2780693139398,58.5,32.8695902660927,1.5,32.849496438167
9,97.7731717195869,97.5,33.0388783243074,1.5,32.939202255267
10,75.1368356287098,75.5,32.9104997110801,1.5,32.9088089690775
11,72.4068858255562,71.5,32.982833294963,1.5,32.9819733928988
13,63.0712091351569,63.5,32.8738710972736,1.5,32.8992923134938
14,65.4790655820623,65.5,32.9221452436487,1.5,32.4259527316164
15,58.5129041976986,58.5,32.9561632405725,1.5,32.3121484369595
17,65.84994187332,65.5,32.9860018172939,1.5,31.9787054825518
18,59.9606495123164,59.5,32.9832177545769,1.5,32.9183090798148
19,59.0936769950811,59.5,33.0352710968783,1.5,32.5925852450425
20,93.9493718120054,93.5,33.0240862254694,1.5,32.9312750423472
21,76.9915766812401,76.5,33.003542746868,1.5,32.9908005072284
23,95.6019853107163,95.5,33.0588242545161,1.5,33.0480375303075
24,27.3162595389672,26.5,32.9402919286243,1.5,32.8843882811463
25,74.0705892519784,73.5,33.120701428369,1.5,32.5690793407063
26,43.5755869821182,43.5,33.0386608979608,1.5,32.4229445160031
27,55.5190702147125,55.5,33.1034538142005,1.5,32.8642914558353
28,43.3609509446755,43.5,32.8962688079532,1.5,32.8927097707266
29,77.3788170463651,77.5,32.9756723188818,1.5,32.2783112005153
31,53.3107804213843,53.5,32.8279930463964,1.5,32.7467578587786
32,56.6526619674948,56.5,32.9503322126692,1.5,32.9363204762341
35,50.9368560994506,50.5,32.9450035825918,1.5,32.942328242031
34,34.9766456425288,34.5,32.9236487928285,1.5,32.9539562656784
33,43.1050541653929,43.5,32.9745803222601,1.5,32.9980962879291
36,56.8581375192007,56.5,32.9470085059255,1.5,32.1577299577889
37,64.2358515746501,63.5,32.8529129177554,1.5,32.4158259876342
38,61.7551126044607,61.5,32.9077401342831,1.5,33.0241982112875
39,70.2718021253537,70.5,32.7610308988137,1.5,32.8212274815261
40,77.096619040621,76.5,32.8633572590535,1.5,32.4486950191052
41,85.2034782682362,84.5,32.8364984567073,1.5,32.2746014381103
42,91.7883714673036,91.5,32.9872013889532,1.5,32.8397561633251
43,93.7882888405049,93.5,33.6681288537815,1.5,32.5773534202839
44,89.0346502723173,88.5,32.9386493768236,1.5,32.7054612526631
45,72.2834585962404,72.5,32.7021702804337,1.5,32.6744645835017
46,78.8469060819482,78.5,32.9707860249834,1.5,32.600501358987
47,85.7361041534016,85.5,33.6857973310553,1.5,32.4790971285065
48,76.9328297930413,76.5,33.0215325018404,1.5,33.1054984109089
50,71.6188218083813,71.5,32.7099651468693,1.5,32.710629454792
51,68.0286458888473,67.5,32.8759953176277,1.5,32.9388524106831
56,59.1829398000197,58.5,32.7914727014827,1.5,32.7737865034342
55,66.2302510762421,66.5,32.6563827225223,1.5,32.3570618589599
52,71.4336499638401,71.5,32.8313320683916,1.5,32.7641228271954
49,90.908115102445,90.5,33.3188397051732,1.5,32.847838231366
53,99.162080245266,98.5,34.0233921271349,1.5,32.7742012497472
54,84.8841955677266,84.5,33.1284152338938,1.5,32.5956535949019
57,69.279696783444,69.5,32.6158541039271,1.5,32.4493218344264
61,61.5239051735588,61.5,32.7491077722416,1.5,32.5611551665006
67,57.0033093520788,56.5,32.7786035846334,1.5,31.3381096468008
68,65.0170900880476,64.5,32.7203477260354,1.5,32.3319491501907
66,66.7598852339022,66.5,32.6446107103101,1.5,32.4555268394913
62,70.4939899122461,70.5,32.5977590833666,1.5,32.3525373821419
60,84.405622325069,84.5,33.3427569580644,1.5,32.5281131803712
65,71.9765620202801,71.5,33.1364300029933,1.5,31.991168918627
63,88.8879580772415,88.5,33.8935818395843,1.5,32.3960588201889
58,94.7259660453739,94.5,33.3425477999465,1.5,31.4974682921485
59,96.2191789662274,95.5,34.4210784214642,1.5,32.5081074947954
64,89.2297152528499,89.5,34.2442772488204,1.5,32.367175959063
69,78.1390439039614,77.5,33.2776801456984,1.5,32.3863316599569
