Label,Salinity,Station
L1,32.9899,5
L2,33.0367,4
L3,32.8461,8
L4,33.0169,9
L5,32.8668,12
L6,32.9381,15
L7,32.9114,34
L8,33.5081,81
L9,33.1154,25
L10,32.9862,21
L11,33.0042,20
L12,32.9656,17
L13,33.3029,49
L14,34.3967,59
L15,34.2395,64
L16,33.5182,76
L17,32.912,80
L18,32.9299,24
L19,33.315,58
L20,32.9299,82
L21,33.0463,84
L22,32.9272,44
L23,32.9726,42
L24,32.8367,37
D1,34.0456,87
D2,33.0089,88
D3,32.8549,97
D4,32.9416,103
D5,32.9174,100
D6,32.8145,99
D7,32.7982,105
D8,32.9513,106
D9,32.9457,109
