Label,Salinity,Station,Cast,BottleID
D1,33.0057,3,Bottom,RSA_236
D2,32.607,5,Bottom,RSA_239
D3,32.9278,4,Bottom,RSA_241
D4,32.7304,8,Bottom,RSA_249
D5,32.6188,9,Bottom,RSA_252
D6,32.687,12,Bottom,RSA_255
D7,32.7781,15,Bottom,RSA_261
D8,32.7855,17,Bottom,RSA_267
D9,32.8669,20,Bottom,RSA_275
D10,32.9634,21,Bottom,RSA_278
D11,32.6959,24,Bottom,RSA_285
D12,32.881,25,Bottom,RSA_287
D13,32.5694,34,Bottom,RSA_307
D14,32.8085,37,Bottom,RSA_317
D15,34.4074,42,Bottom,RSA_327
D16,33.1019,44,Bottom,RSA_331
D17,33.1706,49,Bottom,RSA_352
D18,32.9005,63,Bottom,RSA_379
D19,33.2188,58,Bottom,RSA_381
D20,35.2286,59,Bottom,RSA_384
D21,33.9132,64,Bottom,RSA_386
D22,35.487,76,Bottom,RSA_398
D23,35.174,77,Bottom,RSA_401
D24,32.8747,80,Bottom,RSA_415
L1,33.5722,81,Bottom,RSA_417
L2,32.7764,82,Bottom,RSA_420
L3,32.9406,84,Bottom,RSA_424
L4,34.0803,87,Bottom,RSA_428
L5,33.5315,88,Bottom,RSA_432
L6,33.4316,103,Bottom,RSA_455
L7,32.8138,100,Bottom,RSA_461
L8,32.9921,99,Bottom,RSA_464
L9,33.3271,105,Bottom,RSA_468
L10,33.2922,106,Bottom,RSA_470
L11,33.019,109,Bottom,RSA_472
,31.6019,5,Surface,RSA_238
,32.5972,9,Bottom,RSA_252
,32.6015,16,Bottom,RSA_265
,32.8184,22,Bottom,RSA_274
,32.6533,22,Surface,RSA_276
,32.4581,20,Surface,RSA_277
,32.9459,23,Bottom,RSA_280
,32.6819,23,Surface,RSA_281
,34.0748,43,Surface,RSA_330
,32.6696,56,Surface,RSA_347
,33.934,64,Bottom,RSA_386
,33.7697,81,Surface,RSA_418
,33.1169,85,Bottom,RSA_434
,32.6046,85,Surface,RSA_435
,33.3795,96,Bottom,RSA_445
,33.2303,104,Bottom,RSA_453
,32.7606,104,Surface,RSA_454
,33.4475,98,Bottom,RSA_460
,33.57,105,Surface,RSA_469
,33.6778,106,Surface,RSA_471
,33.1214,109,Bottom,RSA_472
,33.0406,107,Bottom,RSA_480
,33.9925,111,Surface,RSA_483
,33.9955,113,Surface,RSA_487
