Station,Cast,CTD_depth,Temp,Salinity_Corr
1,Bottom,44.80690621,10.30947409,32.55861997
1,Surface,44.80690621,16.49007289,31.67677923
2,Bottom,37.24861335,10.75573525,32.44021508
2,Surface,37.24861335,17.02470713,31.63771606
3,Bottom,74.83874507,8.760803324,33.00481599
3,Surface,74.83874507,16.74988846,31.59911152
4,Bottom,106.5844807,9.145002323,32.90762592
4,Surface,106.5844807,17.09010065,32.02143399
5,Bottom,64.50986527,10.10636442,32.64170035
5,Surface,64.50986527,17.07090789,31.58156643
6,Bottom,46.73907281,11.45358194,32.61889161
6,Surface,46.73907281,15.95213079,32.18903249
7,Bottom,53.74904129,11.95668586,32.59855364
7,Surface,53.74904129,14.26167933,32.401682
8,Bottom,59.32839615,13.16642019,32.70252026
8,Surface,59.32839615,15.29358808,32.44907267
9,Bottom,98.573616,8.652105584,32.89457393
9,Surface,98.573616,17.67929676,32.29034878
10,Bottom,74.35754047,12.37937273,32.78161686
10,Surface,74.35754047,17.07645596,32.76796343
11,Bottom,60.84884348,15.69863124,32.71298615
11,Surface,60.84884348,17.24676544,32.5935015
12,Bottom,72.62829468,16.4097835,32.66720284
12,Surface,72.62829468,16.55094174,32.6495003
13,Bottom,66.2785203,17.79557486,32.60973043
13,Surface,66.2785203,17.85161178,32.60378829
14,Bottom,70.1162809,14.87975791,32.75385344
14,Surface,70.1162809,17.06130816,32.63614359
15,Bottom,62.37412584,14.78701076,32.77238685
15,Surface,62.37412584,16.95690927,32.64492008
16,Bottom,81.21506344,9.485954965,32.81485314
16,Surface,81.21506344,17.1931447,32.58522032
17,Bottom,67.1661117,12.80018877,32.79527371
17,Surface,67.1661117,16.69442678,32.65287796
18,Bottom,63.55147552,16.89177194,32.6573606
18,Surface,63.55147552,17.07372389,32.65516435
19,Bottom,61.73857403,17.09550099,32.66163541
19,Surface,61.73857403,17.89732486,32.61709237
20,Bottom,93.27686814,9.109280327,32.86725009
20,Surface,93.27686814,17.42713359,32.4513654
21,Bottom,94.5678379,8.317186294,32.92503162
21,Surface,94.5678379,17.20999211,32.69391623
22,Bottom,NA,NA,NA
22,Surface,NA,NA,NA
23,Bottom,NA,NA,NA
23,Surface,NA,NA,NA
24,Bottom,26.51608556,16.77730614,32.66583297
24,Surface,26.51608556,16.7765444,32.66441726
25,Bottom,88.67232296,9.918480106,32.92975538
25,Surface,88.67232296,17.70309236,32.59418471
26,Bottom,42.21246926,15.06300543,32.76327698
26,Surface,42.21246926,17.39908421,32.63967572
27,Bottom,64.33720677,12.71567357,32.88308112
27,Surface,64.33720677,17.04823961,32.67357138
28,Bottom,42.19160344,17.64059367,32.58684484
28,Surface,42.19160344,17.69476695,32.62481213
29,Bottom,71.45779137,9.956667131,33.01786485
29,Surface,71.45779137,17.15654629,32.62640452
30,Bottom,54.84614105,13.7766942,32.79745644
30,Surface,54.84614105,16.37900186,32.70868777
31,Bottom,53.71178552,16.15550234,32.70836079
31,Surface,53.71178552,17.05641527,32.65750119
32,Bottom,52.04536427,17.71309721,32.59697149
32,Surface,52.04536427,17.70710289,32.60348765
33,Bottom,46.54272458,18.41819559,32.54704534
33,Surface,46.54272458,18.41139475,32.5441642
34,Bottom,27.32180531,18.20973841,32.54291099
34,Surface,27.32180531,18.21356969,32.55010943
35,Bottom,49.01163014,17.78517792,32.58289793
35,Surface,49.01163014,17.78481122,32.57015352
36,Bottom,57.3782327,15.82991844,32.59569936
36,Surface,57.3782327,17.06776002,32.46521468
37,Bottom,60.04671335,13.76667097,32.79342322
37,Surface,60.04671335,17.42198261,32.35763293
38,Bottom,55.58794501,14.73871254,32.69267748
38,Surface,55.58794501,17.20483546,32.39553174
39,Bottom,65.17891803,11.51860491,32.98795745
39,Surface,65.17891803,17.51207773,32.39478863
40,Bottom,76.50113186,11.66261875,32.94091082
40,Surface,76.50113186,17.21475556,32.41461112
41,Bottom,86.21018471,11.79867162,32.91147595
41,Surface,86.21018471,18.24582164,32.85893678
42,Bottom,91.69730312,12.33247535,34.37546775
42,Surface,91.69730312,19.32319085,33.4362618
43,Bottom,94.09400322,14.01295908,35.1961796
43,Surface,94.09400322,20.69855059,34.00144152
