Station,Cast,BottleID,Filtered,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temperature,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,DIC/TA Ratio,Dissolved_oxygen,DO_sat
1,Bottom,RSA_229,,20211005,41°42.00',69°48.00',41°41.95',69°48.15',23.1,42.2,5:50,5:50,5:53,5:58,6:00,,Mercuric,100,rain; gear caught on niskin,NA,NA,NA,NA,NA,NA,NA,,,44.80690621,10.30947409,,54.74966732,,44.61716732,,32.5586,,2100.1,,2208.1,,0.951089172,241.2239867,84.87207365
1,Surface,RSA_230,,20211005,41°42.00',69°48.00',41°41.95',69°48.15',23.1,42.2,NA,5:52,NA,NA,NA,,Mercuric,100,rain,NA,NA,NA,NA,NA,NA,NA,,,2.5,16.49007289,,12.59629286,,2.46379286,,31.6768,,1947,,2175.9,,0.894802151,274.3493411,109.0932648
2,Bottom,RSA_231,Y,20211005,41°36.02',69°42.04',41°36.19',69°42.10',18.6,34,7:07,7:13,7:16,7:21,7:23,,Mercuric,100,rain,NA,NA,NA,NA,NA,NA,NA,,,37.24861335,10.75573525,,,,,,32.4402,,2102,,2190.9,,0.959423068,,
2,Bottom,RSA_232,,20211005,41°36.02',69°42.04',41°36.19',69°42.10',18.6,34,7:07,7:13,7:16,7:21,7:23,,Mercuric,100,rain,NA,NA,NA,NA,NA,NA,NA,,,37.24861335,10.75573525,,47.05143558,,36.91893558,,32.4402,,2099.1,,2206.1,,0.951498119,240.9490434,85.53655794
2,Surface,RSA_233,,20211005,41°36.02',69°42.04',41°36.19',69°42.10',18.6,34,NA,7:22,NA,NA,NA,,Mercuric,100,rain; petcock & valve fell out,NA,NA,NA,NA,NA,NA,NA,,,2.5,17.02470713,,12.67826159,,2.545761587,,31.6377,,1931.6,,2154.6,,0.896500511,272.9647246,109.6568998
3,Bottom,RSA_236,,20211005,41°36.04',69°30.08',41°36.08',69°30.28',40,73.2,8:59,9:00,9:03,9:06,9:09,D1,Mercuric,100,rain,9:22,9:35,41°35.58',69°29.62',41°34.73',69°28.72',1188,50,,74.83874507,8.760803324,,85.03522723,,74.90272723,,33.0057,,2119.9,,2228.5,,0.951267669,246.6409105,84.09879228
3,Surface,RSA_237,,20211005,41°36.04',69°30.08',41°36.08',69°30.28',40,73.2,NA,9:02,NA,NA,NA,,Mercuric,100,rain; petcock finicky,9:22,9:35,41°35.58',69°29.62',41°34.73',69°28.72',1188,50,,2.5,16.74988846,,12.66403358,,2.531533583,,31.5991,,1946.2,,2155.8,,0.902773912,274.957251,109.840688
5,Surface,RSA_238,,20211005,41°30.26',69°24.25',41°30.32',69°24.33',34.2,62.5,10:47,10:48,10:49,10:53,10:55,D2,Mercuric,100,rain; originally recorded as surface sample,NA,NA,NA,NA,NA,NA,NA,,,2.5,17.07090789,,12.3901,,2.2576,,31.6019,,1936,,2143.2,,0.903322135,272.7309653,109.6238413
5,Bottom,RSA_239,,20211005,41°30.26',69°24.25',41°30.32',69°24.33',34.2,62.5,NA,10:51,NA,NA,NA,,Mercuric,100,rain; petcock finicky; originally recorded as surface sample,NA,NA,NA,NA,NA,NA,NA,,,64.50986527,10.10636442,,74.0176965,,63.8851965,,32.607,,2102.1,,2209.8,,0.951262558,248.5588563,87.11201608
4,Bottom,RSA_241,,20211005,41°24.16',69°18.14',41°24.13',69°18.17',57.2,104.6,12:06,12:08,12:11,12:14,12:16,D3,Mercuric,100,rain,NA,NA,NA,NA,NA,NA,NA,,,106.5844807,9.145002323,,117.1027306,,106.9702306,,32.9278,,2118.7,,2224.1,,0.952610045,251.3807916,86.39921054
