Station,Cast,BottleID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temp,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,DIC.TA.Ratio,Dissolved_oxygen,DO_sat
9,Surface,RSA_253,20211005,41°08.98',69°00.06',41°08.88',68°59.91',53.4,97.7,NA,16:35,NA,NA,NA,,Benzalkonium and mercuric,250,petcock finicky -- switched niskins,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.67929676,NA,12.6428917,NA,2.510391701,NA,32.2903,NA,1947.8,NA,2185.9,NA,0.891074615,280.8813137,114.7314585
10,Surface,RSA_254,20211005,40°59.88',69°06.07',40°59.13',69°05.47',38.6,70.6,NA,17:44,NA,NA,NA,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.07645596,NA,12.65291363,NA,2.520413627,NA,32.768,NA,1997.9,NA,2211.4,NA,0.903454825,273.8771556,110.8988884
11,Surface,RSA_257,20211005,40°53.92',68°53.96',40°53.62',68°53.86',39.2,71.7,NA,19:05,NA,NA,NA,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.24676544,NA,12.68432109,NA,2.551821086,NA,32.5935,NA,1987.3,NA,2199.9,NA,0.903359244,284.1074124,115.2984206
12,Surface,RSA_258,20211005,40°54.01',68°47.99',40°53.86',68°47.90',38.1,69.7,NA,19:42,NA,NA,NA,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,16.55094174,NA,12.75383786,NA,2.621337864,NA,32.6495,NA,2011.5,NA,2198.2,NA,0.915066873,269.5014671,107.9367997
13,Surface,RSA_260,20211005,40°53.99',68°42.01',40°53.94',68°41.98',34.8,63.6,NA,20:27,NA,NA,NA,,Mercuric,100,,20:36,20:51,40°54.32',68°42.33',40°55.04',68°43.05',0,0,rocks & large fluke,2.5,17.85161178,NA,12.67644254,NA,2.543942542,NA,32.6038,NA,2004.2,NA,2191.8,NA,0.914408249,267.6138152,109.8837982
14,Surface,RSA_263,20211005,40°59.96',68°47.99',40°59.93',68°48.07',36.8,67.3,NA,21:46,NA,NA,NA,,Mercuric,100,labeled 262 on datasheet; suspect 262 is Bottom & 263 is Surface,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.06130816,NA,12.64387777,NA,2.511377773,NA,32.6361,NA,1990.8,NA,2198.3,NA,0.90560888,279.9020259,113.2137973
15,Surface,RSA_264,20211005,41°05.97',68°42.05',41°06.04',68°42.13',31.5,57.6,NA,22:49,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,16.95690927,NA,12.63724613,NA,2.504746128,NA,32.6449,NA,2006.6,NA,2197.1,NA,0.913294798,273.9311914,110.5802508
16,Surface,RSA_266,20211005,41°12.09',68°48.05',41°12.21',68°48.12',43.2,79,NA,23:46,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.1931447,NA,12.62300741,NA,2.490507406,NA,32.5852,NA,1981.4,NA,2195.8,NA,0.902359049,277.3203716,112.4216158
17,Surface,RSA_268,20211006,41°12.00',68°42.07',41°12.15',68°42.19',34.8,63.6,NA,0:35,NA,NA,NA,,Mercuric,100,,0:48,1:03,41°12.15',68°41.60',41°12.12',68°40.19',133,50,large gravid lobsters,2.5,16.69442678,NA,12.59405567,NA,2.461555674,NA,32.6529,NA,2005.1,NA,2197,NA,0.912653619,275.3442074,110.5891036
18,Surface,RSA_271,20211006,41°12.05',68°36.03',41°12.15',68°36.06',33,60.4,NA,1:41,NA,NA,NA,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.07372389,NA,12.73066984,NA,2.598169842,NA,32.6552,NA,2018.6,NA,2202.8,NA,0.916379154,261.6780073,105.8804587
19,Surface,RSA_273,20211006,41°18.04',68°29.98',41°18.10',68°29.96',32.7,59.8,NA,2:38,NA,NA,NA,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.89732486,NA,12.62501876,NA,2.492518764,NA,32.6171,NA,2010.5,NA,2196.9,NA,0.91515317,262.9794056,108.0841904
20,Surface,RSA_277,20211006,41°20.87',68°41.82',41°20.89',69°41.80',50.2,91.8,NA,3:59,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.42713359,NA,12.40244802,NA,2.269948018,NA,32.4581,NA,1966.9,NA,2200.3,NA,0.893923556,272.5440693,110.8955268
21,Surface,RSA_279,20211006,41°26.95',68°36.04',41°26.90',68°36.02',50.7,92.7,NA,5:02,NA,NA,NA,,Mercuric,100,,5:14,5:29,41°26.58',68°35.23',41°26.06',68°33.68',306,50,,2.5,17.20999211,NA,12.60883441,NA,2.476334409,NA,32.6939,NA,1992.6,NA,2210.9,NA,0.90126193,271.3824041,110.1235303
